FID,OBJECTID,Intersecti,All_Motori,F__Truck,Pedestrian,Cyclist_No,Data_Colle
294,294,DYNES RD @ PRINCE OF WALES DR,16102,3.63%,112,199,2016-Aug-24
295,295,EAGLESON RD @ FALLOWFIELD RD,17075,3.25%,2,0,2016-Mar-30
296,296,EAGLESON RD @ HAZELDEAN RD/ROBERTSON RD,49512,2.52%,65,45,2016-Aug-18
297,297,EAGLESON RD @ HOPE SIDE RD/TERRY FOX DR,20540,3.24%,8,7,2016-Mar-30
298,298,EAGLESON RD @ HWY 417 EAGLESO IC138R51/PARK AN,36008,3.03%,1684,10,2016-Aug-18
299,299,EAGLESON RD @ KATIMAVIK RD/TIMM DR,37070,2.62%,20,1,2016-Mar-03
300,300,EAGLESON RD @ MICHAEL COWPLAND DR/STONEHAVEN D,36614,2.06%,380,43,2016-Aug-18
301,301,EAGLESON RD @ PALOMINO DR N,30600,2.11%,51,9,2016-Aug-18
302,302,EAGLESON RD @ PALOMINO DR S/ROTHESAY DR,31542,2.25%,105,15,2016-Aug-18
303,303,EARL ARMSTRONG RD @ FIRE STATION/235 E OF SPRATT RD,15914,2.38%,5,0,2016-Jan-29
304,304,EARL ARMSTRONG RD @ LIMEBANK RD,18116,5.05%,20,53,2016-Jun-07
305,305,EARL ARMSTRONG RD @ PARK N RIDE/295 E OF RIVER RD,23605,3.52%,54,0,2016-Jan-12
306,306,EARL ARMSTRONG RD @ RIVER RD,36334,4.16%,73,36,2016-Jun-07
307,307,EARL ARMSTRONG RD @ RIVER RD,36376,3.05%,18,1,2016-Mar-08
308,308,EARL MULLIGAN DR @ WOODROFFE AVE,38762,1.83%,36,2,2016-Apr-07
309,309,"EGLISE, RUE DE L @ MONTREAL RD",23035,3.35%,461,9,2016-Jan-28
310,310,ELGIN ST @ GILMOUR ST,14635,4.54%,4392,493,2016-May-11
311,311,ELGIN ST @ GLADSTONE AVE,15410,4.11%,3247,467,2016-May-11
312,312,ELGIN ST @ GLOUCESTER ST,16386,4.73%,5324,485,2016-May-11
313,313,ELGIN ST @ LAURIER AVE,39077,4.44%,8759,148,2016-Jan-20
314,314,ELGIN ST @ LEWIS ST,14197,3.43%,2900,243,2016-Oct-20
315,315,ELGIN ST @ MACLAREN ST,13842,4.69%,5733,479,2016-May-11
316,316,ELGIN ST @ MCLEOD ST,14499,3.05%,1723,383,2016-May-11
317,317,ELGIN ST @ NEPEAN ST,17141,4.31%,8110,347,2016-May-11
318,318,ELGIN ST @ SOMERSET ST,17037,4.32%,7957,671,2016-May-11
319,319,ELGIN ST @ WAVERLEY ST,14246,4.42%,4172,394,2016-May-11
320,320,ELGIN ST NB @ WELLINGTON ST/RIDEAU ST,27225,11.12%,4871,38,2016-Feb-10
321,321,ELM CRES N @ STITTSVILLE MAIN ST,12301,3.53%,87,28,2016-Jul-12
322,322,FAIRMONT AVE @ GLADSTONE AVE,6753,2.89%,474,417,2016-Jul-27
323,323,FALLOWFIELD RD @ GREENBANK RD,33800,2.65%,4,0,2016-Feb-11
324,324,FALLOWFIELD RD @ HWY 416 FALLOWFI IC66R34,29288,9.62%,0,0,2016-Nov-22
325,325,FALLOWFIELD RD @ LARKIN DR,13348,3.88%,0,0,2016-Feb-11
326,326,FALLOWFIELD RD @ MERIVALE RD,23865,2.69%,0,0,2016-Feb-11
327,327,FALLOWFIELD RD @ O'KEEFE CRT,9676,5.79%,3,7,2016-Aug-11
328,328,FALLOWFIELD RD @ STRANDHERD DR,36475,5.59%,2,0,2016-Dec-01
329,329,FALLOWFIELD RD @ WOODROFFE AVE,47597,2.30%,34,40,2016-Aug-16
330,330,FIFTH AVE @ QUEEN ELIZABETH DRWY,13731,0.74%,673,5,2016-Jan-28
331,331,FIRST (1ST) ST @ PARKIN CIRC,750,5.02%,41,26,2016-Oct-05
332,332,FISHER AVE @ DEER PARK RD/DYNES RD,21563,2.65%,497,13,2016-Mar-09
333,333,FISHER AVE @ KINTYRE PRIV,15159,3.23%,41,102,2016-Aug-03
334,334,FISHER AVE @ MEADOWLANDS DR,32739,2.74%,287,5,2016-Jan-19
335,335,FISHER AVE @ PRINCE OF WALES DR,29832,2.62%,7,14,2016-Apr-06
336,336,FISHER AVE @ TUNIS AVE,17053,2.86%,111,14,2016-Nov-24
337,337,FITZGERALD RD @ ROBERTSON RD,32803,2.79%,786,2,2016-Nov-22
338,338,FLORA ST @ KENT ST,14077,2.50%,841,126,2016-May-05
339,339,FOREST LEA DR @ SMITH RD,701,5.84%,8,2,2016-Feb-04
340,340,FORSEY ST @ ST. PATRICK ST,30915,1.54%,94,174,2016-Jul-13
341,341,FORWARD AVE @ BURNSIDE AVE,4686,1.54%,437,7,2016-Nov-23
342,342,FORWARD AVE @ LYNDALE AVE,1210,4.60%,651,8,2016-Nov-23
343,343,FRANCES COLBERT AVE @ GLENNCASTLE DR,359,6.39%,22,39,2016-May-12
344,344,FRANK FINNIGAN WAY @ PALLADIUM DR,9240,4.24%,28,24,2016-Aug-17
345,345,FRANKLIN CATHCART CRES @ WEST RIDGE DR S,4210,1.79%,71,46,2016-Jul-07
346,346,FROBISHER LANE W @ RIVERSIDE DR,31650,2.97%,8,6,2016-Oct-05
347,347,GEORGE ST @ DALHOUSIE ST,12057,5.17%,4949,51,2016-Nov-30
348,348,GEORGE ST @ PRESTON ST,14565,4.96%,1498,193,2016-Sep-07
349,349,GEORGE ST @ SUSSEX DR,16134,2.59%,9287,773,2016-Aug-03
350,350,GIBBARD AVE @ KNOXDALE RD,5852,2.46%,37,24,2016-Jun-28
351,351,GILLIGAN RD @ LEITRIM RD,15434,5.32%,2,0,2016-Jan-13
352,352,GILMOUR ST @ KENT ST,16827,2.35%,1832,29,2016-Feb-10
353,353,GLADSTONE AVE @ ARTHUR ST/ARTHUR LANE,10421,3.92%,1259,508,2016-Jul-27
354,354,GLADSTONE AVE @ KENT ST,24265,2.68%,1423,51,2016-Feb-10
355,355,GLADSTONE AVE @ METCALFE ST,12068,2.73%,1821,339,2016-Jul-27
356,356,GLADSTONE AVE @ O'CONNOR ST,17197,2.85%,2017,279,2016-Jul-27
357,357,GLADSTONE AVE @ PERCY ST,13420,2.71%,1042,676,2016-Jul-27
358,358,GLADSTONE AVE @ PRESTON ST,20756,5.21%,1744,595,2016-Jul-27
359,359,GLADSTONE AVE @ ROCHESTER ST,16639,4.25%,1390,480,2016-Jul-27
360,360,GLADSTONE AVE @ ROCHESTER ST,16196,4.79%,1243,76,2016-Nov-23
361,361,GOLFLINKS DR E @ JOCKVALE RD,11689,3.51%,2,0,2016-Mar-01
362,362,GOULBOURN FORCED RD @ INNOVATION DR,8940,2.18%,224,62,2016-Jul-12
363,363,GOULBOURN FORCED RD @ KEYROCK DR,6333,3.42%,109,40,2016-Jun-21
364,364,GRASSY PLAINS DR @ STONEHAVEN DR,16653,2.60%,426,3,2016-Dec-01
365,365,GREAT LAKES AVE @ MARITIME WAY,2728,1.68%,87,30,2016-Aug-10
366,366,GREEN VALLEY CRES @ PRINCE OF WALES DR,23191,1.97%,32,185,2016-Oct-12
367,367,GREENBANK RD @ 207 S OF BELLMAN DR/GREENBANK S,29768,2.08%,157,3,2016-Nov-22
368,368,GREENBANK RD @ 220 N OF STRANDHERD DR,18324,2.33%,147,2,2016-Feb-10
369,369,GREENBANK RD @ BELLMAN DR/BATEMAN DR,29679,2.26%,637,13,2016-Mar-30
370,370,GREENBANK RD @ BERRIGAN DR/WESSEX RD,26381,2.62%,187,2,2016-Feb-10
371,371,GREENBANK RD @ CANFIELD RD/CRAIG HENRY DR,32394,2.19%,617,10,2016-Mar-30
372,372,GREENBANK RD @ HARRISON ST/ASHGROVE CRES,30619,2.25%,295,9,2016-Apr-12
373,373,GREENBANK RD @ JOCKVALE RD,13273,1.28%,34,4,2016-Aug-16
374,374,GREENBANK RD @ LARKIN DR,20892,2.58%,59,0,2016-Feb-11
375,375,GREENBANK RD @ LISA AVE,32794,2.14%,381,39,2016-Aug-11
376,376,GREENBANK RD @ MALVERN DR/FOXFIELD DR,26709,2.69%,154,1,2016-Feb-10
377,377,GREENBANK RD @ MARKETPLACE AVE,21549,2.64%,178,1,2016-Feb-10
378,378,GREENBANK RD @ STRANDHERD DR,35378,2.87%,138,5,2016-Aug-16
379,379,GRENON AVE @ RICHMOND RD,15062,3.21%,220,38,2016-Aug-11
380,380,HAIG DR @ RUSSELL RD,10809,3.50%,298,3,2016-Dec-07
381,381,HALIFAX DR @ WALKLEY RD,34459,5.40%,299,4,2016-Dec-07
382,382,HALTON TERR/MAXWELL BRIDGE RD @ MARCH RD,18589,1.80%,92,41,2016-Aug-10
383,383,HAMILTON AVE @ SPENCER ST,3435,1.43%,517,7,2016-Nov-23
384,384,HAMPSTEAD PL @ WALKLEY RD,19176,4.10%,198,13,2016-Nov-16
385,385,HARBOUR ST @ NICHOLSON ST,799,3.08%,4,18,2016-Aug-04
386,386,HARDING RD @ WALKLEY RD,34770,4.40%,303,11,2016-Nov-17
387,387,HARMER AVE @ WELLINGTON ST,10489,5.00%,1210,39,2016-Jan-12
388,388,HARRIS PL @ ROWLEY AVE,1046,2.61%,94,2,2016-Jan-27
389,389,HARRY DOUGLAS DR @ IBER RD,10064,5.36%,4,0,2016-Nov-22
390,390,HAWTHORNE RD @ RIDEAU RD,9233,22.45%,0,6,2016-Jun-28
391,391,HAWTHORNE RD @ STEVENAGE DR,26448,16.23%,75,1,2016-Dec-07
392,392,HAZELDEAN RD @ FRINGEWOOD DR,25102,3.10%,41,3,2016-Mar-23
393,393,HAZELDEAN RD @ HUNTMAR DR/IBER RD,37693,3.13%,87,76,2016-Aug-17
394,394,HAZELDEAN RD @ HUNTMAR DR/IBER RD,53577,4.18%,101,20,2016-Dec-06
395,395,HAZELDEAN RD @ SOBEYS SC/195 W OF CARP RD,12154,3.33%,13,1,2016-Jan-19
396,396,HAZELDEAN RD @ TERRY FOX DR,52363,3.98%,102,1,2016-Mar-03
397,397,HAZELDEAN RD @ WEST RIDGE DR,12847,3.06%,94,24,2016-Jul-21
398,398,HELENE-CAMPBELL RD @ STRANDHERD DR,26812,5.60%,6,0,2016-Dec-08
399,399,HELMSDALE DR @ TERRY FOX DR,8585,3.25%,162,2,2016-Nov-22
400,400,HEMLOCK RD @ LANSDOWNE RD,15720,4.13%,106,366,2016-Jun-08
401,401,HENEY ST @ WURTEMBURG ST,1537,2.61%,118,5,2016-Mar-03
402,402,HERITAGE GLEN DR @ WOODROFFE AVE,21867,1.66%,50,47,2016-Jul-13
403,403,HERON RD @ 155 W OF BANK ST/CANADIAN TIRE SC,38319,3.37%,121,7,2016-Dec-07
404,404,HERON RD @ BAYCREST DR,26600,4.16%,462,11,2016-Nov-16
405,405,HERON RD @ BRIAR HILL DR/SANDALWOOD DR,23149,3.84%,212,4,2016-Nov-16
406,406,HERON RD @ JEFFERSON ST,24009,3.45%,250,19,2016-Nov-17
407,407,HERON RD @ KALADAR AVE,34468,3.27%,193,6,2016-Nov-16
408,408,HERZBERG RD @ CARLING AVE,24915,0.95%,15,241,2016-Aug-10
409,409,HERZBERG RD @ MARCH RD,41018,1.92%,38,27,2016-Aug-10
410,410,HINCHEY AVE @ SCOTT ST,13893,17.10%,414,176,2016-Jul-13
411,411,HINES RD @ INNOVATION DR,6492,5.05%,134,45,2016-Jul-06
412,412,HOLLAND AVE @ KENILWORTH ST,10672,5.19%,247,79,2016-Nov-16
413,413,HOLLAND AVE @ YARROW ST,6788,10.48%,2483,178,2016-Oct-19
414,414,HOLLAND AVE/TUNNEY'S PASTURE @ SCOTT ST,21762,14.44%,6015,334,2016-Oct-19
415,415,HOLLY ACRES RD @ CARLING AVE,23777,1.60%,51,50,2016-Mar-30
416,416,HUNT CLUB RD @ RIVERSIDE DR,65630,3.63%,73,131,2016-Aug-03
417,417,HUNT CLUB RD @ UPLANDS DR,36357,5.38%,175,0,2016-Feb-10
418,418,HUNTMAR DR @ MAPLE GROVE RD,25120,3.30%,197,1,2016-Dec-06
419,419,HUNTMAR DR @ PALLADIUM DR S,21268,3.31%,30,31,2016-Aug-17
420,420,HUNTSVILLE DR @ INGERSOLL CRES,1640,13.76%,53,0,2016-Jan-13
421,421,HWY 417 TERRYFO IC140R52 @ TERRY FOX DR,41353,3.32%,11,0,2016-Mar-03
422,422,HWY 417 TERRYFO IC140R61 @ TERRY FOX DR,42970,3.63%,16,6,2016-Mar-08
423,423,HWY 417 VANIER IC117R63 @ VANIER PKWY,63384,5.20%,63,20,2016-Aug-03
424,424,IMPERIAL AVE @ RENFREW AVE,909,3.60%,73,20,2016-Apr-26
425,425,INDUSTRIAL AVE @ OC TRANSPO GARAGE/215m E OF RUSSELL RD,18884,8.40%,17,0,2016-Jan-13
426,426,INNES RD @ 240 E OF TENTH LINE RD/HOME DEPOT E,28676,2.57%,102,19,2016-Oct-26
427,427,INNES RD @ STAR TOP RD/WINDMILL LANE,42097,8.65%,36,3,2016-Jan-28
428,428,IONA ST @ ISLAND PARK DR,17850,0.57%,288,14,2016-Feb-10
429,429,IRIS ST @ WOODROFFE AVE,42909,2.75%,145,124,2016-Aug-10
430,430,ISLAND PARK DR @ MERIVALE RD,18413,0.51%,146,18,2016-Feb-09
431,431,ISLAND PARK DR @ RICHMOND RD,24889,2.22%,712,505,2016-Jul-26
432,432,ISLAND PARK DR @ SCOTT ST,25530,1.41%,436,622,2016-Jul-26
433,433,IVANY WAY @ NANTES ST,949,1.73%,70,12,2016-Jul-07
434,434,IVANY WAY @ PLAINHILL DR,745,1.98%,29,21,2016-Jul-07
435,435,JAMES ST @ KENT ST,14153,2.59%,1363,195,2016-May-05
436,436,JEANNE D'ARC BLVD @ FORTUNE DR/VINEYARD DR,15499,2.99%,402,2,2016-Nov-23
437,437,JEANNE D'ARC BLVD @ LAWNSBERRY DR W,4356,2.75%,101,53,2016-Jul-05
438,438,JEANNE D'ARC BLVD @ OR174 IC105 RAMP52,27931,3.37%,496,7,2016-Nov-03
439,439,JEANNE D'ARC BLVD @ ORLEANS BLVD N,16397,4.04%,620,6,2016-Nov-23
440,440,JOCKVALE RD @ SPORTS FIELD/228 N OF ABETTI RDG/RIVERSTONE DR,16985,3.23%,11,1,2016-Jan-12
441,441,JOSHUA ST @ RENAUD RD,10849,3.72%,118,7,2016-Nov-02
442,442,JOSHUA ST @ RENAUD RD,9501,2.02%,88,9,2016-Jul-12
443,443,KANATA AVE @ GOLDRIDGE DR/EVANSHEN PL,12264,2.79%,194,58,2016-Jun-21
444,444,KATIMAVIK RD @ AIRD PL/CHIMO DR W,8091,4.43%,153,4,2016-Mar-03
445,445,KATIMAVIK RD @ WHITNEY DR,7305,4.64%,411,3,2016-Mar-03
446,446,KENT ST @ FLORENCE ST,13978,2.50%,1049,134,2016-May-05
447,447,KENT ST @ LISGAR ST,12155,2.75%,2911,238,2016-May-05
448,448,KENT ST @ MACLAREN ST,13102,2.94%,1871,225,2016-May-05
449,449,KENT ST @ MCLEOD ST,13837,2.37%,860,141,2016-May-05
450,450,KENT ST @ SPARKS ST,9673,3.03%,7478,7,2016-Feb-10
451,451,KENT ST @ WELLINGTON ST,26452,6.84%,3873,8,2016-Feb-10
452,452,KINBURN SIDE RD @ UPPER DWYER HILL RD,3996,5.69%,0,0,2016-Dec-06
453,453,KING EDWARD AVE @ LAURIER AVE,22326,5.58%,3862,981,2016-Aug-03
454,454,KING EDWARD AVE @ MURRAY ST,39257,6.83%,1554,191,2016-Jun-08
455,455,KING EDWARD AVE @ MURRAY ST,44701,6.84%,1444,197,2016-Sep-21
456,456,KING EDWARD AVE @ RIDEAU ST,29602,10.36%,4607,223,2016-Aug-03
457,457,KING EDWARD AVE @ SOMERSET ST/MARIE CURIE PRIV,16791,6.21%,1854,415,2016-Aug-03
458,458,KING EDWARD AVE @ YORK ST,21945,9.92%,1866,104,2016-Jun-08
459,459,KING EDWARD AVE @ YORK ST,25745,10.24%,2041,137,2016-Sep-21
460,460,KIRKWOOD AVE @ 118 N OF DOVERCOURT AVE,13692,3.64%,239,50,2016-Aug-24
461,461,KIRKWOOD AVE @ LAPERRIERE AVE,15926,3.85%,120,93,2016-Aug-24
462,462,KIRKWOOD AVE @ MERIVALE RD,25470,2.88%,274,67,2016-Aug-18
463,463,KIRKWOOD AVE @ RICHMOND RD,16127,4.57%,930,305,2016-Aug-24
464,464,KIRKWOOD AVE @ SWITZER AVE,18040,3.13%,509,70,2016-Aug-24
465,465,KIRKWOOD AVE N @ CARLING AVE,43304,3.39%,543,39,2016-May-04
466,466,KLONDIKE RD @ MARCH RD,24424,2.29%,128,39,2016-Aug-10
467,467,KNOXDALE RD @ SKIPTON RD,5292,2.91%,167,3,2016-Apr-06
468,468,KNUDSON DR @ WESLOCK WAY,5986,4.22%,114,72,2016-Jun-08
469,469,LACASSE AVE @ MONTREAL RD,18809,3.25%,1028,17,2016-Feb-04
470,470,LAJOIE ST @ MONTREAL RD,20674,3.36%,548,26,2016-Jan-20
471,471,LAKESIDE AVE @ QUEEN ELIZABETH DRWY,11161,0.73%,51,118,2016-Aug-11
472,472,LAURIER AVE @ LYON ST,14767,2.13%,6244,1052,2016-Nov-02
473,473,LAURIER AVE @ NICHOLAS ST,46177,13.54%,3594,696,2016-Nov-02
474,474,LEGGET DR @ TERRY FOX DR,12383,1.84%,274,157,2016-Jul-12
475,475,LEGRAND CRES N @ WILDFLOWER DR N,1210,0.41%,34,11,2016-Aug-04
476,476,LEIKIN DR @ RCMP ACCESS/150 N OF BILL LEATHEM DR,9779,3.05%,67,1,2016-Jan-12
477,477,LEITRIM RD @ ALBION RD,30514,5.22%,66,13,2016-Sep-08
478,478,LEITRIM RD @ LIMEBANK RD N,24609,4.42%,6,88,2016-Jun-07
479,479,LEITRIM RD @ RIVER RD,12995,2.37%,1,8,2016-Jun-07
480,480,LESTER RD @ MEANDERING BROOK DR,10064,4.87%,1,3,2016-Sep-28
481,481,LESTER RD @ MEANDERING BROOK DR,9546,4.52%,2,11,2016-Jun-28
482,482,LIARD ST @ STITTSVILLE MAIN ST,10542,4.58%,48,2,2016-Sep-14
483,483,LIMEBANK RD @ SPRATT RD,22933,2.72%,305,2,2016-Mar-23
484,484,LIMEBANK RD/RIVERSIDE DR @ RIVER RD,27472,2.90%,7,87,2016-Jun-07
485,485,LISGAR RD @ ROCKCLIFFE PKWY,16335,0.52%,57,118,2016-Jun-08
486,486,LOCKHART AVE @ RICHMOND RD,12950,3.51%,158,94,2016-Jul-26
487,487,LOGAN FARM DR @ LOMBARDY DR,685,6.91%,30,0,2016-Dec-07
488,488,LONGFIELDS DR @ PAUL METIVIER DR,13717,3.11%,76,55,2016-Jun-28
489,489,LONGFIELDS DR @ WOODROFFE AVE,39880,2.36%,144,14,2016-Mar-30
490,490,LYNDALE AVE @ PARKDALE AVE,13189,1.85%,1218,107,2016-Aug-25
491,491,LYON ST @ WELLINGTON ST,35351,5.09%,2692,20,2016-Jan-20
492,492,MACKENZIE AVE @ RIDEAU ST,24070,11.00%,7992,714,2016-Aug-03
493,493,MAIN ST @ BECKWITH RD/BOWER ST,13686,3.07%,186,17,2016-Mar-08
494,494,MAJESTIC DR @ WOODROFFE AVE,32807,3.87%,355,9,2016-Mar-08
495,495,MAPLE AVE @ COLONY HEIGHTS RD,659,3.72%,4,0,2016-Feb-04
496,496,MAPLE GROVE RD @ TERRY FOX DR,38019,3.86%,69,11,2016-Mar-23
497,497,MARAVISTA DR @ STRANDHERD DR,27638,5.01%,17,0,2016-Dec-08
498,498,MARCH RD @ MORGAN'S GRANT WAY/SHIRLEY'S BROOK,27927,1.77%,111,71,2016-Aug-10
499,499,MARCH RD @ SOLANDT RD,42167,1.97%,137,83,2016-Aug-10
500,500,MARCH RD @ TERRY FOX DR,39417,1.74%,371,108,2016-Aug-10
501,501,MARCH RD @ UPPER DWYER HILL RD,10942,4.36%,0,6,2016-Dec-01
502,502,MARCH VALLEY RD @ TERRY FOX DR,10463,1.06%,386,272,2016-Jul-12
503,503,MARIER AVE @ MONTREAL RD,22585,3.57%,578,18,2016-Jan-19
504,504,MARKETPLACE AVE @ RIOCAN AVE,12147,3.04%,810,22,2016-Jun-28
505,505,MARKETPLACE AVE @ TRANSITWAY SOUTHWEST,4901,13.61%,1209,5,2016-Aug-16
506,506,MASSEY LANE @ REBECCA CRES,906,4.34%,46,63,2016-Oct-19
507,507,MAXIME ST @ CYRVILLE RD,13756,3.75%,77,103,2016-Jun-21
508,508,MCBRIDE ST @ LAPERRIERE AVE,8335,5.45%,150,7,2016-Nov-24
509,509,MCCALLUM DR/SUNLAND DR N @ NORTHLANDS DR,2519,2.68%,172,22,2016-Nov-08
510,510,MCCARTHY RD @ PAUL ANKA DR,8292,5.59%,261,5,2016-Nov-24
511,511,MCCARTHY RD @ PLANTE DR N,8363,3.59%,75,5,2016-Nov-24
512,512,MCRAE AVE @ RICHMOND RD,14411,3.32%,2449,293,2016-Aug-31
513,513,MEADOWLANDS DR @ MERIVALE RD,47990,2.46%,976,20,2016-Apr-13
514,514,MEADOWLANDS DR @ ROWLEY AVE,12614,2.76%,61,8,2016-Jan-27
515,515,MEADOWLANDS DR @ TIVERTON DR,12533,2.92%,435,93,2016-Jul-20
516,516,MEADOWLANDS DR/PETER ST @ PERRY ST,13237,2.49%,195,21,2016-Apr-13
517,517,MEADOWLANDS DR/TALLWOOD DR @ WOODROFFE AVE,50556,4.00%,566,9,2016-Mar-23
518,518,MELBOURNE AVE @ TILLBURY AVE,957,6.68%,102,69,2016-Jul-06
519,519,MELROSE AVE @ WELLINGTON ST,7243,4.62%,1174,210,2016-Nov-16
520,520,MERIVALE RD @ 170 N OF HUNTCLUB RD/COSTCO/CANA,40066,3.38%,220,1,2016-Jan-29
521,521,MERIVALE RD @ CLEOPATRA DR,29822,4.17%,135,19,2016-Mar-30
522,522,MERIVALE RD @ MACFARLANE RD,20564,4.12%,34,27,2016-Jun-22
523,523,MERIVALE RD @ SLACK RD,29382,3.64%,114,19,2016-Mar-30
524,524,MERIVALE RD @ WEST HUNT CLUB RD,60864,4.04%,207,24,2016-Apr-26
525,525,MERIVALE RD @ WEST HUNT CLUB RD,66685,3.73%,232,2,2016-Mar-23
526,526,MERIVALE RD/LOTTA AVE @ CLYDE AVE,41421,2.15%,405,18,2016-Apr-13
527,527,MILTON RD @ NAVAN RD,12832,6.77%,1,0,2016-Dec-06
528,528,MITCH OWENS RD/BRIDGE ST @ RIVER RD,19082,4.49%,13,2,2016-Feb-17
529,529,MONTCREST DR @ CHEVERNY CRES/TALCY CRES,3170,4.42%,75,0,2016-Jan-19
530,530,MONTGOMERY ST @ MONTREAL RD,17646,3.39%,564,14,2016-Jan-13
531,531,MONTREAL RD @ GRANVILLE ST/LAFONTAINE AVE,23145,3.22%,720,17,2016-Jan-28
532,532,MONTREAL RD @ NORTH RIVER RD,26507,4.15%,716,31,2016-Jan-19
533,533,MONTREAL RD @ ST. LAURENT BLVD,46853,3.59%,677,13,2016-Jan-19
534,534,MOODIE DR @ CORKSTOWN RD,16472,1.99%,11,7,2016-Apr-07
535,535,MOODIE DR @ MCKENNA CASEY DR,4154,21.78%,12,5,2016-Jul-07
536,536,MOODIE DR @ RICHMOND RD N,16135,4.54%,92,9,2016-Sep-08
537,537,MOODIE DR @ RICHMOND RD S,13365,3.30%,44,20,2016-Jun-28
538,538,MOODIE DR @ TIMM DR,20431,2.70%,4,10,2016-Apr-12
539,539,MOONEY'S BAY PL @ RIVERSIDE DR,28825,2.43%,156,26,2016-Aug-24
540,540,MORRISON DR @ BASELINE RD,22626,2.83%,84,38,2016-Oct-26
541,541,NAVAHO DR @ WOODROFFE AVE/TRANSITWAY N BASELIN,33627,3.13%,1742,69,2016-Aug-17
542,542,NAVAN RD @ PAGE RD,11525,8.79%,38,30,2016-Jun-21
543,543,NELSON ST @ YORK ST,3340,2.36%,881,204,2016-Jun-08
544,544,NELSON ST @ YORK ST,4007,2.09%,1108,279,2016-Sep-21
545,545,NEW ORCHARD AVE @ RICHMOND RD,16115,2.54%,224,90,2016-Aug-25
546,546,NICHOLAS ST NB @ RAMP TO NICHOLAS ST SB,13738,13.34%,96,6,2016-Nov-30
547,547,NORICE ST @ VIEWMOUNT DR,5177,3.94%,143,3,2016-Feb-09
548,548,NORICE ST @ WOODROFFE AVE,35025,3.52%,110,145,2016-Jul-20
549,549,OLD TENTH LINE RD @ TENTH LINE RD,29725,2.83%,43,10,2016-Oct-26
550,550,ORANGEVILLE ST/HWY 417 ROCHEST IC121BR51 @ ROC,13346,2.87%,331,35,2016-Nov-16
551,551,ORLEANS BLVD @ NAVAN RD,11511,7.93%,16,12,2016-Jul-26
552,552,ORLEANS BLVD @ NAVAN RD,12472,7.53%,10,8,2016-Aug-31
553,553,OTTAWA RIVER PKWY @ PORTAGE BRIDGE,54302,3.45%,668,42,2016-Mar-23
554,554,OTTAWA RIVER PKWY @ REMIC RAPIDS ENT/TUNNEY'S,32223,0.34%,23,0,2016-Jan-27
555,555,OTTAWA RIVER PKWY @ VIMY PLACE PRIV,42715,2.72%,169,34,2016-Aug-31
556,556,PALLADIUM DR @ SILVER SEVEN RD,29666,3.24%,133,42,2016-Aug-17
557,557,PAMILLA ST @ PRESTON ST,14045,4.86%,1086,266,2016-Sep-07
558,558,PARKDALE AVE @ GLADSTONE AVE,19503,2.76%,383,146,2016-Jul-27
559,559,PARKDALE AVE @ HWY 417 PARKDAL IC122R15/HWY 41,23668,2.96%,188,61,2016-Aug-18
560,560,PARKDALE AVE @ RUSKIN ST,12444,3.57%,490,101,2016-Aug-25
561,561,PARKDALE AVE @ SCOTT ST,25804,10.29%,1658,196,2016-Jul-13
562,562,PARKDALE AVE @ SCOTT ST,25833,10.82%,1919,213,2016-Oct-19
563,563,PARKDALE AVE @ SHERWOOD DR,15838,3.00%,515,209,2016-Jun-21
564,564,PARKDALE AVE @ WELLINGTON ST,23226,2.82%,1710,47,2016-Jan-12
565,565,PARKDALE AVE @ WELLINGTON ST,21209,3.39%,2327,435,2016-Aug-18
566,566,PARKDALE AVE @ WESTMOUNT AVE/HWY 417 PARKDAL I,23888,2.52%,124,51,2016-Aug-25
567,567,PAUL ANKA DR @ UPLANDS DR,8231,4.66%,460,64,2016-Jun-28
568,568,PAUL METIVIER DR @ BEATRICE DR,3655,3.81%,98,15,2016-Oct-12
569,569,PAUL METIVIER DR @ CLEARBROOK DR,3900,3.03%,59,11,2016-Oct-12
570,570,PEPPERGRASS RD @ CASSIA CIRC N/SCHROEDER CRES,579,1.13%,25,17,2016-Aug-16
571,571,PEPPERGRASS RD @ CASSIA CIRC S/SCHROEDER CRES,499,1.31%,7,16,2016-Aug-16
572,572,PERTH ST @ SHEA RD,12087,2.93%,20,8,2016-Jul-12
573,573,PICASSO DR @ PICASSO DR,758,4.32%,23,14,2016-Oct-05
574,574,PINECREST RD @ QUEENSVIEW DR,29767,2.96%,136,25,2016-Aug-11
575,575,PLEASANT PARK RD @ ST. LAURENT BLVD,20683,3.50%,210,5,2016-Dec-07
576,576,PORTOBELLO BLVD @ VALIN ST,12200,2.93%,246,66,2016-Jun-21
577,577,PORTOBELLO BLVD @ VALIN ST,13027,3.01%,304,45,2016-Sep-28
578,578,POULIN AVE @ RICHMOND RD,18021,3.45%,298,54,2016-Aug-11
579,579,PRESTON ST @ ELM ST,9659,8.33%,825,193,2016-Sep-07
580,580,PRESTON ST @ SOMERSET ST,21489,4.73%,1779,668,2016-Aug-18
581,581,PRESTON ST @ WELLINGTON ST,29787,12.77%,3147,99,2016-Aug-18
582,582,PRINCE OF WALES DR @ 187 N OF HOG'S BACK RD/CH,15864,3.74%,415,193,2016-Aug-24
583,583,PRINCE OF WALES DR @ FALAISE RD/KOCHAR DR N,20824,2.58%,89,331,2016-Aug-24
