Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
EARL ARMSTRONG RD @ PARK N RIDE/295 E OF RIVER RD,30098,0.0296,80,1,1576731600000,367882.9291,5014698.1762,45.2694113296,-75.6960741302,200
EARL ARMSTRONG RD @ RIVER RD,43396,0.0338,30,0,1550638800000,367572.7185,5014684.3975,45.2693151067,-75.7000287932,201
EARL ARMSTRONG RD @ SPRATT RD,29934,0.0385,87,7,1574744400000,368396.7091,5015011.4291,45.2721836741,-75.6894870784,202
EASTBOURNE AVE @ ST. LAURENT BLVD,3272,0.0629,98,10,1575435600000,371016.7052,5035092.6178,45.4526258037,-75.6534092346,203
EASTMAN AVE @ MANOTICK MAIN ST,8071,0.0475,10,13,1570680000000,369246.7149,5009422.3895,45.2218166125,-75.6793796894,204
BANKFIELD RD @ MANOTICK MAIN ST/RIDEAU VALLEY,18629,0.062,0,1,1576040400000,368431.6985,5010157.4005,45.2285043093,-75.6896625402,205
BANTREE ST @ INNES RD,43058,0.0972,86,6,1548824400000,373705.7232,5030406.5554,45.4102030894,-75.6196894846,206
BANTREE ST @ INNES RD,39307,0.0863,135,37,1569902400000,373705.7232,5030406.5554,45.4102030894,-75.6196894846,207
BARNSDALE RD @ PRINCE OF WALES DR,11825,0.033,2,0,1551330000000,366646.6962,5011532.4132,45.2410356905,-75.7122210816,208
BARNSDALE RD @ RIDEAU VALLEY DR,10161,0.0427,1,2,1551330000000,367265.7078,5011882.417,45.2441303609,-75.704293151,209
BARNSDALE RD @ TWIN ELM RD N,2946,0.0506,0,0,1571198400000,360185.6395,5007832.366,45.2082799559,-75.7949245585,210
BARNSDALE RD E @ CEDARVIEW RD E,4447,0.0782,0,0,1547096400000,364036.6806,5010031.3883,45.2277538196,-75.7456421978,211
BARNSDALE RD S @ TWIN ELM RD S,2865,0.0641,0,0,1571198400000,360231.6321,5007720.3652,45.2072685328,-75.7943515652,212
BARRAN ST @ FALLOWFIELD RD,18918,0.0304,3,1,1551157200000,362292.6808,5016244.4381,45.2838038929,-75.7671307727,213
BASELINE RD @ 115M E OF CLYDE AVE,31337,0.0201,105,34,1566360000000,364473.934,5024962.46,45.3620661674,-75.7382778404,214
BASELINE RD @ 207 E OF CLYDE AVE,35742,0.0206,848,67,1566360000000,364535.4807,5025000.9755,45.3624074825,-75.7374876272,215
BASELINE RD @ CEDARVIEW RD,27974,0.0255,18,4,1547528400000,358967.6649,5021674.4901,45.3329280427,-75.8089186357,216
BASELINE RD @ CENTREPOINTE DR E/HIGHGATE RD,41429,0.0171,368,4,1548133200000,362061.6866,5023465.5053,45.3487978635,-75.7692403661,217
BASELINE RD @ CLYDE AVE,56866,0.0192,693,108,1566360000000,364358.7033,5024890.5129,45.3614285969,-75.7397572705,218
BASELINE RD @ CORDOVA ST,36306,0.0226,111,1,1548133200000,363593.6882,5024409.5264,45.3571653124,-75.7495787448,219
BASELINE RD @ FERGUSON ST,35531,0.0227,158,3,1548133200000,363440.6901,5024315.5073,45.3563321514,-75.7515425423,220
BASELINE RD @ LEXINGTON ST,40675,0.0219,47,15,1574139600000,366391.7077,5026169.5263,45.3727612334,-75.7136497635,221
BASELINE RD @ ST. HELEN'S PL,30500,0.0249,86,15,1571716800000,364105.6943,5024731.5275,45.3600195165,-75.7430056215,222
BASELINE RD @ ZENA ST,40604,0.0252,66,10,1574139600000,365628.697,5025688.5299,45.3684999654,-75.7234495566,223
BASSWOOD AVE @ CARLETON CATHCART ST,741,0.0487,41,20,1558584000000,351003.586,5013158.4202,45.2568676119,-75.9113134075,224
BATHGATE DR @ DEN HAAG DR,6971,0.0442,258,55,1556078400000,373407.7196,5033925.5751,45.4418947347,-75.6230060304,225
BAXTER RD @ IRIS ST,8425,0.037,112,115,1567051200000,361057.6848,5023610.5093,45.3501838581,-75.7820356753,226
BAY ST @ GLADSTONE AVE,9852,0.0412,960,247,1574744400000,367462.7107,5030288.564,45.4097282636,-75.699454362,227
BAY ST @ QUEEN ST,11330,0.0301,1767,68,1551934800000,366899.6969,5031212.5832,45.4180925006,-75.7065300052,228
BAY ST @ WELLINGTON ST,46962,0.0539,1384,320,1575349200000,366814.698,5031351.5666,45.4193505708,-75.7075984695,229
BAYSHORE DR @ RICHMOND RD,30931,0.0237,22,4,1573621200000,359372.6852,5023368.5259,45.3481396327,-75.8035648347,230
BAYSHORE DR @ WOODRIDGE CRES N,11576,0.0378,441,11,1572930000000,359072.871,5023875.0781,45.3527208604,-75.8073350678,231
BAYSHORE DR @ WOODRIDGE CRES S,17040,0.0315,604,17,1572930000000,359233.669,5023509.506,45.3494189763,-75.805323256,232
BEARBROOK RD @ NORTHPARK DR S,7663,0.0254,120,78,1567051200000,377841.7438,5033230.568,45.4351923191,-75.5664375695,233
BEATRICE DR @ CLARIDGE DR,6503,0.0272,327,60,1570680000000,365145.6836,5016522.355,45.2860654429,-75.7307324639,234
METCALFE ST @ SLATER ST,24003,0.0451,15715,105,1575349200000,367731.6966,5031549.5758,45.4210503108,-75.6958572515,235
RICHMOND RD @ NORTHSIDE RD E,34559,0.0228,288,57,1560398400000,358329.3019,5021226.531,45.3289462647,-75.8171108496,236
BEAUMONT RD @ KILBORN AVE,4831,0.036,123,129,1570507200000,371866.7357,5027917.5351,45.3879865562,-75.6435193739,237
BEAUSEJOUR DR @ COUNTRY WALK DR,1994,0.0403,155,56,1560312000000,380402.7396,5035700.5765,45.4571433751,-75.5333300015,238
BEAUSEJOUR DR @ DES SAPINS GDN,1907,0.0352,117,49,1560312000000,380415.7472,5035612.578,45.4563502257,-75.5331772392,239
BEAUSOLEIL DR @ COBOURG ST,9406,0.0591,231,45,1575522000000,369035.7064,5032924.5785,45.4333035535,-75.6790169517,240
BEAUSOLEIL DR @ MURRAY ST,2596,0.0107,416,210,1563336000000,368559.7041,5032916.5777,45.4332751276,-75.6851010517,241
BEAVER RDG @ MEADOWLANDS DR,11329,0.0323,50,8,1573621200000,365690.6996,5024680.5226,45.3594247123,-75.7227823035,242
BECKENHAM LANE @ CEDAR RD S,1128,0.0131,6,9,1564027200000,374526.7196,5034518.5924,45.447119656,-75.6086198515,243
BEECHWOOD AVE @ CHARLEVOIX ST/MACKAY ST,21350,0.0381,1864,88,1553140800000,369185.871,5033592.351,45.4392980976,-75.6770105892,244
BEECHWOOD AVE @ LANGEVIN AVE,20282,0.0472,338,89,1575954000000,369373.706,5033749.6082,45.440695711,-75.6745892737,245
BEECHWOOD AVE @ MARIER AVE/PUTMAN AVE,16023,0.0456,904,66,1553140800000,369605.7065,5033907.5934,45.4420957294,-75.6716032447,246
BEECHWOOD AVE @ SPRINGFIELD RD,19953,0.0474,1666,96,1553572800000,369236.7014,5033653.5889,45.4398444089,-75.6763529181,247
BEECHWOOD AVE @ ST. CHARLES ST,15148,0.0454,526,64,1553140800000,369415.7147,5033785.6016,45.4410156836,-75.6740476297,248
BELCOURT BLVD @ INNES RD,33365,0.03,266,15,1553659200000,382121.5789,5035266.6101,45.453050816,-75.5114241032,249
BELFAST RD @ TRAINYARDS,15825,0.0617,224,2,1548824400000,371882.7209,5030913.5744,45.4149421377,-75.6429077326,250
BELL ST @ CARLING AVE,24663,0.0231,365,149,1568260800000,367273.717,5029222.5611,45.4001535735,-75.7020036713,251
BEN ST @ COTE ST,4094,0.0129,105,15,1575435600000,371535.7141,5033194.5946,45.4354989228,-75.6470317738,252
BENLEA DR W @ WOODFIELD DR W,3155,0.0457,76,36,1570680000000,363814.6936,5021774.492,45.3334369659,-75.7470725442,253
BERRIGAN DR @ CLARIDGE DR,7928,0.026,1473,3,1575522000000,364655.9644,5015849.23,45.2800505527,-75.7370558802,254
BERTONA ST @ CRAIG HENRY DR,4851,0.0487,139,4,1547528400000,362580.6874,5021848.4892,45.3342054842,-75.7628064091,255
BESSERER ST @ KING EDWARD AVE,15697,0.0216,2420,70,1570075200000,368550.7052,5032340.5821,45.4280933507,-75.6852906234,256
BEVERLEY AVE @ SIMS AVE,419,0.0313,70,12,1574917200000,365435.7028,5029080.5574,45.3990374601,-75.7254964692,257
BEVERLY ST @ JONATHAN PACK ST,2134,0.0222,47,47,1569384000000,349458.5851,5013476.4209,45.2598288639,-75.9309689155,258
BILBERRY DR @ QUARRY RIDGE DR,1443,0.0429,11,0,1550638800000,380940.2166,5038113.2994,45.4787927258,-75.52608493,259
BILL LEATHEM DR @ LEIKIN DR S,8925,0.0294,143,82,1560312000000,366925.7039,5017439.4535,45.2941623314,-75.7079286246,260
BILL LEATHEM DR @ LEIKIN DR S,9768,0.039,52,0,1551157200000,366925.7039,5017439.4535,45.2941623314,-75.7079286246,261
BILLINGS BRIDGESC RAMP NB @ RIVERSIDE DR EB,20971,0.0192,11,6,1574917200000,369082.7135,5027762.5301,45.3868529215,-75.6790893718,262
BIRCH AVE @ FARNHAM CRES,1356,0.1282,54,18,1571716800000,370294.7133,5035185.6068,45.4535305149,-75.662626632,263
BIRCHGROVE RD @ LARMOURS RD,68,0.1667,0,0,1574226000000,398000.8582,5034668.5069,45.445732667,-75.308557233,264
BIRCHGROVE RD @ MAGLADRY RD,336,0.1366,2,0,1574226000000,398924.8844,5032399.4978,45.4251956012,-75.2971812619,265
BLACKSTONE CRES @ SOUTHVALE CRES S,2016,0.0902,100,10,1570507200000,374511.7406,5028752.5457,45.3952413151,-75.6096272009,266
BLACKWELL ST @ LEEDS AVE,3165,0.2066,16,3,1570507200000,374658.7339,5029476.5356,45.4017407666,-75.6076474641,267
BLAIR PL @ OGILVIE RD,22246,0.0341,185,4,1547614800000,374799.7225,5033371.5817,45.4367722229,-75.6052933818,268
BLAIR RD @ MEADOWBROOK RD,29056,0.0435,149,2,1547614800000,375194.7345,5032311.5693,45.4271951772,-75.6003966759,269
BLAIR RD @ MEADOWBROOK RD,25370,0.0386,76,3,1572494400000,375194.7345,5032311.5693,45.4271951772,-75.6003966759,270
BLAIR RD @ MOWAT ST,11761,0.0294,50,21,1556078400000,374199.715,5033985.5909,45.4423565503,-75.6128749175,271
BLAIR RD @ MOWAT ST,11150,0.0237,89,86,1567051200000,374199.715,5033985.5909,45.4423565503,-75.6128749175,272
BLAIR RD @ OGILVIE RD,42584,0.0303,1447,34,1556078400000,374507.7237,5033198.575,45.4352447758,-75.6090496288,273
BLAIR RD @ REGIONAL RD 174 N/OR174 IC112 RAMP61,44137,0.0518,865,3,1547010000000,374634.7313,5032991.575,45.4333696318,-75.6074558755,274
BLAIR ST @ DRAKE AVE,2717,0.0271,35,18,1569902400000,371044.5432,5030248.7302,45.4090399934,-75.6537050031,275
BLANCHFIELD RD @ CABIN RD,868,0.0839,0,0,1574139600000,377517.7415,5003830.3596,45.1706957584,-75.5748908036,276
BLANCHFIELD RD @ SNAKE ISLAND RD,5438,0.0998,4,3,1574139600000,376781.744,5005553.366,45.1862744676,-75.584004341,277
BLASDELL AVE @ ST. LAURENT BLVD,2671,0.084,92,25,1571716800000,370980.7095,5035179.6062,45.4534118939,-75.6538576898,278
BLOHM DR @ 68 N OF BRISTON PRIV/ROBERT BATEMAN,3167,0.0644,125,3,1576040400000,373822.7402,5025764.5235,45.3684246744,-75.6188439609,279
BLOHM DR @ JOHNSTON RD,3640,0.0779,167,7,1555473600000,374576.7456,5026455.524,45.374567325,-75.6091217519,280
BLOHM DR @ KARSH DR E,2274,0.1132,97,11,1555473600000,374298.7443,5026050.5349,45.3709510406,-75.6127277042,281
BLOHM DR @ WINNEGREEN CRT E/FOREST GLADE CRES,3421,0.0637,61,7,1570680000000,375062.7366,5026431.5316,45.3743028906,-75.6029210118,282
BLOHM DR @ WOODBURY CRES W/TED GRANT PRIV,2947,0.0573,244,15,1555473600000,373975.2205,5025768.6276,45.3684465684,-75.616897029,283
BOOTH ST @ CARLING AVE,31445,0.0225,1189,428,1568260800000,367094.7119,5029106.5599,45.3991257773,-75.7043045885,284
BOOTH ST @ DANIEL MCCANN ST,12651,0.0144,499,285,1568260800000,366949.6982,5029436.5618,45.4021079321,-75.7061150965,285
BOOTH ST @ MIDDLE ST,15681,0.0689,557,214,1574658000000,366114.6962,5031292.5809,45.418881531,-75.7165493353,286
BOOTH ST @ ORANGEVILLE ST,16376,0.0147,926,321,1568260800000,366891.6961,5029571.5648,45.4033277989,-75.7068389314,287
BOREALIS CRES @ DEN HAAG DR S,2100,0.0616,80,31,1556078400000,372727.8107,5033654.0789,45.4395183437,-75.6317335847,288
BOTELER ST @ DALHOUSIE ST/MACDONALDCARTIER BR,16370,0.0215,360,31,1574312400000,367696.4021,5033069.9825,45.4347335908,-75.6961140295,289
BOTTRIELL WAY N @ CHARLEMAGNE BLVD,11022,0.026,138,1,1547528400000,383695.749,5037954.5741,45.4770587335,-75.4908696147,290
BOUNDARY RD @ CARTWRIGHT RD,5919,0.0482,0,0,1574226000000,390896.8367,5014589.4184,45.265992114,-75.4028516139,291
BOUNDARY RD @ COOPER HILL RD,5852,0.0493,0,0,1574226000000,389488.8404,5018416.4578,45.3005956033,-75.4201376485,292
BOUNDARY RD @ MITCH OWENS RD,10235,0.0584,0,1,1551157200000,388065.8321,5022162.4695,45.334469225,-75.4376495176,293
BOUNDARY RD @ NINTH LINE RD,10994,0.0739,1,0,1574226000000,387598.8206,5023364.4855,45.3453392109,-75.4434057325,294
BOUNDARY RD @ RUSSELL RD E,7886,0.057,10,2,1551157200000,386579.8067,5026009.5009,45.369256395,-75.4559695901,295
BOWESVILLE RD @ RIDEAU RD,7542,0.1376,1,3,1574658000000,373361.7353,5015566.4527,45.2767110902,-75.6261404142,296
BOYER RD @ MEADOWGLEN DR,2930,0.064,80,3,1553659200000,381131.7508,5035173.5656,45.4523224937,-75.5240918854,297
BRIAN COBURN BLVD @ ESPRIT DR,12313,0.0408,158,1,1551157200000,385141.5803,5035343.552,45.4534023985,-75.4728061821,298
BRIAN COBURN BLVD @ PORTOBELLO BLVD,10792,0.0413,174,0,1575522000000,385751.3538,5035489.4161,45.4546443738,-75.4649872923,299
BRIAN GOOD AVE @ HAWKESWOOD DR,2536,0.0484,73,3,1571803200000,368186.8559,5014526.8049,45.2678420197,-75.69222316,300
BRIAR HILL DR @ FEATHERSTON DR,2770,0.0266,115,49,1570507200000,371453.7259,5027364.5417,45.3830503568,-75.6488678337,301
BRIDGE ST @ DICKINSON ST,19287,0.0743,51,0,1576645200000,368855.7033,5010077.4027,45.2277460567,-75.6842737643,302
BRIDGE ST @ LONG ISLAND RD,19574,0.0676,37,0,1576040400000,369059.709,5010345.3986,45.2301388852,-75.6816414864,303
BRIDGE ST/MAPLE AVE @ MANOTICK MAIN ST,24694,0.0557,31,0,1576040400000,368699.7029,5009932.3887,45.2264553977,-75.6862787898,304
BRIDGESTONE DR @ EAGLESON RD,16098,0.0326,12,0,1550725200000,354872.691,5015403.907,45.2768083343,-75.8617931462,305
BRIDLEWOOD DR/BUDAPEST CRES S @ STEEPLE CHASE DR,4495,0.0186,186,8,1554868800000,355166.5126,5017224.9728,45.2931736791,-75.8578635983,306
BRIERWOOD AVE @ BYRON AVE,4732,0.0132,112,182,1572321600000,362819.9619,5027933.7879,45.3889406568,-75.7590394735,307
BRITANNIA RD @ HOWE ST,2983,0.0753,535,1356,1567051200000,359920.6705,5025320.5144,45.3656607375,-75.7963545301,308
METCALFE ST @ SOMERSET ST,16956,0.0373,4877,326,1556769600000,368010.7043,5031104.5728,45.4170211681,-75.6923495287,309
RICHMOND RD @ SEYTON DR,13066,0.0426,85,1,1547614800000,357398.6479,5019314.4745,45.311811752,-75.8291857152,310
METEOR AVE @ MUSTANG ST,555,0.0885,8,7,1563336000000,387855.8052,5031438.515,45.4179515052,-75.4387686213,311
MICHAEL COWPLAND DR @ TERENCE MATTHEWS CRES E,10442,0.0218,114,0,1550725200000,354231.6151,5016511.4439,45.2868195755,-75.8698532321,312
RICHMOND RD @ WINONA AVE,10968,0.0315,725,151,1569988800000,363294.8501,5028338.171,45.3925397305,-75.7529273578,313
MICHAEL ST @ BELFAST RD,9434,0.1091,39,18,1569902400000,373132.7289,5030678.5617,45.4127066541,-75.6269712525,314
RIDEAU FOREST DR @ RIVER RD,6044,0.0404,1,0,1571198400000,370596.709,5009053.3939,45.2183716234,-75.662240378,315
MICHAEL ST @ PARISIEN ST W,3615,0.0798,190,11,1572321600000,372671.7221,5031369.5584,45.4189687853,-75.6327652934,316
RIDEAU TER @ SPRINGFIELD RD,4762,0.0458,707,55,1571716800000,369155.7029,5034086.6007,45.4437479356,-75.6773315308,317
MICHELE DR @ PENNY DR,2132,0.0777,87,1,1553745600000,359558.6682,5024103.5069,45.3547384955,-75.8011101765,318
RIDEAU VALLEY DR @ 36 S OF COMMODORE DR/KARS P,1256,0.0551,27,1,1553659200000,371772.47,5001778.61,45.1528028009,-75.6482483738,319
MILL HILL RD @ ROBERTSON RD,21072,0.026,18,8,1556683200000,356241.6562,5019959.4668,45.3177011879,-75.843873397,320
RIDEAU VALLEY DR @ OLD WELLINGTON ST,948,0.045,28,0,1573707600000,371858.7018,5001431.328,45.1496697777,-75.6471984104,321
MILTON RD @ NAVAN RD,9845,0.0788,0,0,1551157200000,387268.7888,5031812.5211,45.4213858874,-75.4462052431,322
RIDEAU VALLEY DR E @ ROGER STEVENS DR E,7534,0.0539,0,0,1551330000000,372212.7032,5002825.3326,45.1621792866,-75.6425088841,323
MILTON RD @ PERRAULT RD,4648,0.0666,0,0,1574226000000,388681.8166,5028182.5007,45.3885585668,-75.4287700845,324
RIDGEWOOD AVE @ RIVERSIDE DR,34877,0.0195,81,3,1551848400000,368280.7047,5025609.5323,45.3675539807,-75.689607018,325
MILTON RD @ SMITH RD,4793,0.0745,1,0,1574226000000,387572.8054,5031062.5187,45.4146021905,-75.4424471355,326
RIDGEWOOD AVE @ SPRINGLAND DR,4172,0.0576,205,9,1575522000000,368580.7126,5025642.5355,45.3678236985,-75.6857732524,327
MILTON RD/SABOURIN RD @ RUSSELL RD,9436,0.0911,0,0,1574053200000,389748.8274,5025322.4746,45.3626982629,-75.4156379973,328
RIVER RD @ 290M N OF BALMORAL DR,11943,0.0158,0,6,1571198400000,368101.352,5019807.355,45.3153634276,-75.6926387932,329
MITCH OWENS RD @ STAGECOACH RD,18176,0.1001,4,1,1571198400000,375399.7547,5014484.4582,45.2667739602,-75.600321669,330
RIVER RD @ 700 N OF EARL ARMSTRONG RD,17777,0.0201,8,1,1576731600000,367844.9812,5015340.6904,45.2751960168,-75.6964761078,331
RIVER RD @ RIDEAU RD,14684,0.0548,4,1,1575954000000,368048.7043,5012370.4141,45.2484514118,-75.6942580145,332
RIVER RD @ TEWSLEY,23615,0.0374,231,2,1576645200000,367969.1411,5015644.8589,45.2779217508,-75.6948551106,333
RIVERDALE AVE @ SUNNYSIDE AVE,9317,0.0233,441,23,1575522000000,369074.5849,5028787.111,45.3960725204,-75.679059705,334
RIVERDALE AVE @ WINDSOR AVE,3640,0.043,65,17,1575522000000,369085.6279,5028402.3411,45.3926094714,-75.6789688099,335
RIVERSIDE DR @ HERON RD,77595,0.0257,442,75,1569470400000,368121.1049,5026647.2211,45.3769052717,-75.6915112317,336
RIVERSIDE DR @ TREMBLAY RD/HWY417 IC117 RAMP52,66075,0.0619,31,5,1548824400000,370802.0781,5031015.9079,45.4159656568,-75.6566995025,337
RIVERSIDE DR RAMP 42A @ RIVERSIDE DR,35818,0.0224,42,8,1574917200000,368441.8803,5027266.8025,45.3824510283,-75.6873360974,338
RIVERSTONE DR @ PONDHOLLOW WAY,903,0.0726,64,3,1571198400000,365795.9646,5013853.5273,45.2619952991,-75.7227715325,339
ROCKY HILL DR @ PRINCE OF WALES DR,31762,0.0257,6,0,1575954000000,366968.7684,5014403.4204,45.2668405387,-75.7077599216,340
ROGER GUINDON AVE @ SMYTH RD,26387,0.0324,277,4,1546923600000,371933.91,5029226.1614,45.3997546086,-75.6424835508,341
ROGER STEVENS DR @ SECOND LINE RD,7314,0.0771,0,0,1573707600000,369956.686,5001501.3151,45.1504775709,-75.6713751022,342
ROTHWELL CIRC @ ROTHWELL DR,1084,0.0121,8,33,1563336000000,374839.0174,5034487.5194,45.4468088557,-75.6046323772,343
RUISSELLET RD @ RUSSELL RD,5070,0.0733,0,0,1574053200000,398927.8868,5028953.4651,45.3941926441,-75.2978008714,344
RUSSELL AVE @ TEMPLETON ST,1993,0.0189,466,94,1563336000000,369360.7066,5031686.579,45.4221345815,-75.6750259117,345
RUSSELL RD @ SAUMURE RD/LANGLADE RD,6676,0.0701,6,0,1574053200000,399947.8987,5029464.4845,45.3986522188,-75.284677675,346
RUSSELL RD @ SOUTHVALE CRES S,13152,0.1,301,2,1547701200000,374457.7389,5028633.5442,45.3941759714,-75.6103336402,347
RUSSLAND RD @ SAUMURE RD,4482,0.0427,0,1,1575435600000,401312.9295,5024763.4406,45.3561722399,-75.268164964,348
SAI CRES @ WINNEGREEN CRT W,2692,0.073,247,16,1555473600000,374879.7394,5026563.5244,45.3755088255,-75.6052384107,349
SANFORD FLEMING AVE @ TERMINAL AVE,8176,0.1592,1025,9,1551762000000,370856.7208,5030831.5564,45.4143017809,-75.6560261255,350
SAUNDERSON DR @ GOREN AVE,5761,0.0165,140,37,1570507200000,373235.7339,5028295.5416,45.3912552673,-75.6259860866,351
SAUNDERSON DR @ HAMLET RD,4998,0.0197,156,18,1576040400000,372846.7267,5029243.5531,45.3998229667,-75.6308228797,352
SAUNDERSON DR @ SMYTH RD,21668,0.0343,227,4,1546923600000,372793.7313,5029323.5508,45.4005478994,-75.631488696,353
SAUNDERSON DR @ WINGATE DR,4347,0.0226,148,65,1570507200000,373052.7285,5029060.5455,45.398156294,-75.628217199,354
SAVILLE ROW @ SHERBOURNE RD,4901,0.0368,292,78,1571889600000,362188.6943,5026729.5404,45.3781569907,-75.767240592,355
SCOTT ST @ WINONA AVE,8453,0.0384,86,179,1571198400000,363163.6868,5028629.5538,45.3951724902,-75.7545679106,356
SECOND AVE @ BRONSON AVE,38341,0.0203,201,34,1555473600000,367519.7066,5029162.5553,45.3995916644,-75.6988695081,357
SEYTON DR @ SEYTON DR,2596,0.0915,85,4,1574917200000,357208.651,5019545.4699,45.3139044811,-75.8315842317,358
SHEFFIELD RD @ WALKLEY RD,40553,0.1033,0,1,1548824400000,375257.7351,5028784.5388,45.3954545072,-75.600095811,359
SHERBOURNE RD @ WINDERMERE AVE,4541,0.0173,100,53,1571889600000,362647.6885,5026665.5342,45.3775433242,-75.7613879757,360
SHERWOOD DR @ WOODSTOCK ST,1946,0.015,143,52,1574658000000,365856.697,5028852.5554,45.3969493651,-75.720147806,361
SHILLINGTON AVE @ SILVER ST,3043,0.0232,168,8,1573621200000,365076.2246,5026949.5917,45.3798945054,-75.730347972,362
SIXTH LINE RD @ BERRY SIDE RD,1399,0.055,0,0,1554782400000,348081.6272,5031349.5764,45.420742387,-75.9469494476,363
SMYTH RD @ BOTSFORD ST/DAUPHIN RD,24631,0.0356,523,11,1546923600000,372243.7334,5029261.5449,45.4000431968,-75.6385217176,364
SMYTH RD @ GENERAL HOSPITAL E,26696,0.0274,597,25,1576040400000,371516.7175,5029181.552,45.3993931114,-75.6478178833,365
SMYTH RD/OTHELLO AVE @ RUSSELL RD W,23148,0.0384,584,84,1570507200000,373255.7361,5029373.5457,45.4009527081,-75.6255810723,366
SNAKE ISLAND RD @ STAGECOACH RD,8840,0.0828,0,3,1551848400000,378062.7575,5006581.3852,45.1953924107,-75.5675540571,367
SPRINGLAND DR N @ FLANNERY DR N,4248,0.0493,400,29,1574744400000,368893.7198,5025897.5301,45.3700895159,-75.6817447177,368
ST. CHARLES ST @ ALICE ST,854,0.0211,157,103,1565841600000,369637.7099,5033567.5906,45.4390335574,-75.6712389872,369
ST. JOSEPH BLVD @ OR174 IC101 RAMP25,10806,0.0243,18,2,1574744400000,383342.7457,5038945.5898,45.4860147765,-75.4952255769,370
ST. JOSEPH BLVD @ OR174 IC101 RAMP25,22164,0.0298,0,11,1556078400000,383342.7457,5038945.5898,45.4860147765,-75.4952255769,371
ST. JOSEPH BLVD @ REGIONAL RD 174/TRANSITWAY,30195,0.043,193,11,1556078400000,376556.2845,5035056.4043,45.4517531352,-75.5825989275,372
ST. JOSEPH BLVD @ TAYLOR CREEK DR,9605,0.0253,11,6,1566964800000,384033.9389,5039174.3611,45.4879949271,-75.4863478118,373
ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD,29604,0.0315,109,55,1557979200000,384682.754,5039285.5819,45.4889216293,-75.4780306453,374
ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD,29314,0.0374,137,59,1570593600000,384682.754,5039285.5819,45.4889216293,-75.4780306453,375
ST. LAURENT BLVD @ TRANSITWAY,36715,0.0877,22,3,1548824400000,372444,5031616,45.4212082063,-75.6356408568,376
ST. LAURENT BLVD @ TREMBLAY RD,36254,0.0824,108,1,1548824400000,372595.7139,5031241.576,45.4178246286,-75.6337539896,377
STAGECOACH RD @ EMPIRE GROVE ST/STANMORE ST,5165,0.0835,5,1,1574312400000,376436.7498,5012152.4131,45.2456861176,-75.5874447039,378
STAGECOACH RD @ SUNCREST DR/JACK PINE CRES S,7295,0.0914,0,2,1571198400000,375964.748,5013222.4364,45.2553617478,-75.5933034261,379
STANLEY AVE @ SUSSEX DR,19644,0.0184,535,1008,1563422400000,367832.0959,5033871.926,45.4419369726,-75.6942771906,380
STANLEY AVE @ UNION ST,3033,0.0119,756,171,1573102800000,368132.7052,5033743.6076,45.4407552428,-75.6904514784,381
STEEPLE CHASE DR @ KOKANEE GT/SPRINGWATER DR S,3417,0.0446,127,0,1573621200000,354983.6309,5017630.4519,45.2968353445,-75.8601540302,382
STEVENAGE DR @ SWANSEA CRES E,6553,0.2049,14,4,1570680000000,374904.7401,5027199.5358,45.3812288548,-75.6048289485,383
STITTSVILLE MAIN ST/HUNTLEY RD @ FLEWELLYN RD,9125,0.0577,0,4,1556596800000,351416.5958,5010740.3968,45.2350821407,-75.9062781782,384
STONEHAVEN DR @ FURLONG CRES E/PINE HILL DR,9073,0.0298,144,8,1554868800000,355714.5019,5016889.3121,45.2901138502,-75.8509120355,385
SUNBURST ST @ FERNSIDE ST,539,0.1125,34,1,1574830800000,376013.909,5021332.7211,45.3283301379,-75.591512768,386
SUNNYSIDE AVE @ LEONARD AVE,5766,0.0262,445,19,1575522000000,368358.7173,5028353.5572,45.392236881,-75.6882579729,387
TENTH LINE RD @ WALL RD,6603,0.0841,0,0,1575435600000,385152.7816,5033307.5455,45.4350830076,-75.4729954563,388
TERMINAL AVE @ TRAINYARDS DR,13448,0.052,204,5,1546923600000,371845.334,5030815.9249,45.4140671133,-75.6433986422,389
TERON RD @ PARKWAY (THE)/PENFIELD DR S,12101,0.0405,146,33,1556683200000,352293.6231,5020788.4868,45.3254390541,-75.8941472106,390
TORWOOD DR @ VANCES SIDE RD,1005,0.0473,8,0,1554350400000,343334.6206,5036430.637,45.4667403194,-76.0072061735,391
TRAIL SIDE CIRC @ VALIN ST,1794,0.0772,27,0,1550638800000,386986.2509,5037679.2775,45.4742023562,-75.448834896,392
TRAINYARDS DR @ RAILMARKET,14866,0.0227,116,1,1548824400000,371755.8619,5030717.2619,45.4131879531,-75.6445550531,393
TREMBLAY RD @ TRAIN STATION,10071,0.0541,30,5,1548824400000,371168.45,5031284.46,45.4183473211,-75.6519827582,394
TRIM RD @ DAIRY DR/TAYLOR CREEK DR,23943,0.0481,288,60,1557979200000,384535.051,5039595.391,45.4917258777,-75.47986964,395
TRIM RD @ DAIRY DR/TAYLOR CREEK DR,24097,0.0523,114,30,1570593600000,384535.051,5039595.391,45.4917258777,-75.47986964,396
