Intersection,All_Motorized_Vehicles_AADT_24_,Truck_Percent,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date,X,Y,Lat,Long,FID
HUNTMAR DR @ WELDALE DR,2080,0.0221,1,9,2023-Jul-11,344459.5676,5023207.5104,45.347693,-75.993884,201
BELMEADE RD @ STAGECOACH RD,2088,0.0863,4,0,2023-Mar-14,379283.7396,4996311.2837,45.102857,-75.553547,202
KLONDIKE RD @ MARCH VALLEY RD,2100,0.0087,3,1,2023-Dec-20,350278.6165,5024992.5227,45.363401,-75.919464,203
TOMPKINS AVE @ CARAVEL CRES E/MCEACHERN CRES E,2134,0.0584,207,25,2023-Oct-18,382659.7519,5037783.5776,45.475637,-75.504146,204
CENTRAL PARK DR @ STATEN WAY,2135,0.0491,130,59,2023-May-09,364511.6271,5025568.8283,45.367519,-75.737723,205
AZURE ST/TRIGORIA CRES @ GERRY LALONDE DR,2192,0.0284,142,16,2023-May-02,383668.4129,5035070.514,45.451114,-75.491682,206
PAGE RD @ SILVERBIRCH ST,2202,0.0275,104,13,2023-May-02,381064.7529,5034132.5619,45.442964,-75.52511,207
GOLDENEYE WAY @ NORTH BLUFF DR,2214,0.0118,81,8,2023-Aug-10,369487.5575,5016302.4837,45.283701,-75.675418,208
CLOVERLOFT CRT @ FRINGEWOOD DR,2290,0.02,35,22,2023-Jul-11,350888.6044,5015721.4476,45.279938,-75.91254,209
FIFTH AVE @ MORRIS ST,2315,0.0198,198,262,2023-Jul-05,368068.7147,5029203.5593,45.399911,-75.691852,210
SPENCER ST @ CAROLINE AVE,2316,0.0205,666,119,2023-Apr-20,364662.7033,5029298.5584,45.401066,-75.735343,211
EAGLEHEAD CRES/GERANIUM WALK @ KIMPTON DR,2320,0.0106,140,33,2023-May-18,348989.0044,5015038.5939,45.273916,-75.936813,212
FRONTENAC ST @ LAFONTAINE AVE,2420,0.0158,25,8,2023-Feb-07,370933.7106,5033107.5862,45.434773,-75.654737,213
PERCY ST @ GLOUCESTER ST,2426,0.0216,1136,78,2023-Nov-01,366941.6974,5030856.5688,45.414885,-75.706038,214
DANZIG TERR/GRONINGEN ST @ ROUNCEY RD,2431,0.0554,288,9,2023-Feb-08,353305.1189,5015423.868,45.277098,-75.88177,215
DELMAR DR @ THISTLE CRES E,2442,0.0268,45,31,2023-Oct-17,371995.7311,5028416.5533,45.392464,-75.641804,216
COSTELLO AVE @ MONTEREY DR,2483,0.0353,89,3,2023-Dec-05,360008.6718,5022095.493,45.336635,-75.795591,217
LANDRY ST @ LOYER ST,2514,0.0273,147,14,2023-Dec-05,369488.7123,5033485.5927,45.43831,-75.673154,218
MOSS HILL TR @ TRAILWAY CIRC S,2527,0.0349,140,0,2023-Jan-17,350851.5942,5014062.4275,45.265012,-75.913166,219
SEYTON DR @ WESTCLIFFE RD,2533,0.0863,113,2,2023-Mar-01,356736.6461,5019813.4627,45.316351,-75.837576,220
CONLEY RD @ FALLOWFIELD RD,2541,0.0477,0,3,2023-Jul-06,349415.5536,5006994.3751,45.201503,-75.932098,221
DELMAR DR @ THISTLE CRES W,2567,0.0275,51,37,2023-Oct-17,371840.737,5028551.5563,45.393694,-75.643765,222
FIFTH AVE @ MONK ST,2598,0.024,327,320,2023-Jul-05,368342.7074,5029366.555,45.401353,-75.688332,223
HEMPHILL ST/KIRKHAM CRES N @ SHEA RD,2628,0.0293,7,2,2023-Oct-31,357085.6242,5007466.3607,45.205223,-75.834424,224
CENTURY RD @ FIRST LINE RD,2659,0.0411,7,1,2023-Mar-14,367763.6836,5007452.3693,45.204224,-75.698511,225
LAFONTAINE AVE @ LEVIS AVE,2671,0.0211,220,9,2023-Feb-07,370921.7093,5033237.5887,45.435944,-75.654873,226
CENTURY RD @ FIRST LINE RD,2673,0.0446,7,1,2023-Mar-14,367763.6836,5007452.3693,45.204224,-75.698511,227
CEDARCROFT CRES W @ MEADOWBROOK RD W,2719,0.0271,55,17,2023-Jul-05,374335.7298,5031929.5724,45.423844,-75.611427,228
CASEY AVE @ EASTVALE DR,2759,0.0297,146,17,2023-Nov-08,375482.7163,5035904.5962,45.459494,-75.596201,229
BRADWELL WAY @ KELLY FARM DR,2951,0.0655,500,3,2023-Apr-04,375002.1679,5020197.8329,45.318221,-75.604579,230
GARDENWAY DR @ OAKLAWN CRES S,2958,0.0468,219,24,2023-Sep-19,384084.7645,5036606.564,45.464887,-75.486112,231
SHEENBORO CRES N @ VARENNES BLVD,2965,0.0492,139,2,2023-Feb-23,384995.7583,5038227.5705,45.479367,-75.4742,232
GARDENWAY DR @ ARC-EN-CIEL ST/LATOUR CRES S,2972,0.049,160,0,2023-Jan-26,384057.7595,5036770.5698,45.466365,-75.486431,233
DUNDONALD DR @ GRAND CANAL ST,3211,0.0276,184,10,2023-Nov-08,364576.7041,5011826.0041,45.243856,-75.73855,234
BISSETT WAY @ CLEARBROOK DR,3237,0.038,135,47,2023-Jun-21,365257.534,5015113.9699,45.273383,-75.729478,235
BOYD AVE @ DOHENY ST/KERR AVE,3416,0.024,78,4,2023-Dec-07,363431.6912,5026634.5412,45.377199,-75.751382,236
SANDHILL RD @ SHIRLEY'S BROOK DR,3435,0.0262,71,70,2023-Jul-11,349974.3112,5023799.2575,45.352684,-75.923457,237
BUCKLAND RD @ ROCKDALE RD,3444,0.0534,52,0,2023-Mar-08,394674.872,5024639.4586,45.355939,-75.352894,238
FIELD ST @ IRIS ST,3473,0.0392,207,18,2023-Feb-16,362606.6861,5024636.5283,45.35929,-75.762149,239
KILBORN AVE @ VIRGINIA DR,3549,0.0487,82,2,2023-Jan-26,371765.7268,5027906.534,45.387897,-75.644811,240
SUMMERHILL ST @ VISION ST/WILHELMINA PL,3638,0.0182,31,0,2023-Dec-05,367606.0959,5014271.6781,45.265599,-75.699656,241
NORICE ST @ SULLIVAN AVE,3666,0.0197,77,72,2023-Jun-21,363562.691,5022601.5019,45.340899,-75.750189,242
FOOTHILLS DR @ NORTHSIDE RD,3769,0.0278,5,1,2023-Nov-30,358601.6619,5021354.486,45.330077,-75.813623,243
BEATRICE DR @ QUEENSBURY DR,3895,0.0328,101,71,2023-Jul-25,365136.693,5016164.4404,45.282846,-75.730891,244
DES EPINETTES AVE @ PRESTWICK DR,10497,0.0324,215,1,2023-Mar-07,383334.7613,5036664.5696,45.465493,-75.495692,245
ALBION RD @ DES MESANGES DR,10555,0.019,57,3,2023-Jan-31,371989.7264,5024019.5088,45.352902,-75.642479,246
ABBOTT ST @ SHEA RD,10647,0.0335,178,3,2023-Mar-08,351158.2914,5014146.6156,45.26575,-75.90925,247
CEDAR CREEK DR/DEVONWOOD CIRC @ FINDLAY CREEK,10671,0.0424,200,0,2023-Jan-31,375592.3282,5020307.3404,45.319147,-75.597037,248
ROCKDALE RD @ RUSSLAND RD/HIGHWAY LANE,10710,0.0612,0,1,2023-Nov-23,395330.8773,5022984.4388,45.340965,-75.344826,249
RUSSELL RD @ TUPPER AVE,10781,0.0956,157,21,2023-Oct-19,374256.7356,5028748.5453,45.395231,-75.612884,250
MARKETPLACE AVE @ RIOCAN AVE,10863,0.0297,761,2,2023-Mar-08,364286.8769,5014761.595,45.270295,-75.74189,251
MICHAEL COWPLAND DR @ TERENCE MATTHEWS CRES E,11012,0.0167,160,9,2023-Mar-08,354231.6151,5016511.4439,45.28682,-75.869853,252
PRESTON ST @ ST. ANTHONY ST,11166,0.0486,438,180,2023-Aug-09,366555.7008,5029561.5638,45.403268,-75.711132,253
RODEO DR @ LONGFIELDS DR,11176,0.0131,474,55,2023-May-17,364394.0886,5015424.559,45.276252,-75.740445,254
CHAPEL ST @ RIDEAU ST,11200,0.0694,2385,272,2023-Sep-22,368892.4083,5032643.2713,45.430786,-75.680885,255
PERTH ST @ MEYNELL RD,11217,0.0654,37,8,2023-Oct-12,355919.0378,5005503.6551,45.187648,-75.849475,256
BARNSDALE RD @ RIDEAU VALLEY DR,11351,0.0236,5,0,2023-Mar-07,367139.6983,5011811.4002,45.243503,-75.705907,257
342 E OF CHESTNUT ST @ LEES AVE,11365,0.0495,161,108,2023-Aug-30,369670,5030959,45.415559,-75.67117,258
CHAPEL ST @ RIDEAU ST,11471,0.0686,2316,259,2023-Sep-25,368892.4083,5032643.2713,45.430786,-75.680885,259
ATHLONE AVE @ SCOTT ST,11485,0.1991,751,54,2023-Dec-05,363327.6881,5028733.5439,45.396094,-75.752461,260
LESTER RD @ MEANDERING BROOK DR,11738,0.0362,6,5,2023-Oct-17,373269.331,5022675.8611,45.340688,-75.626336,261
CLYDE AVE @ LAPERRIERE AVE,11767,0.0412,120,15,2023-Mar-02,363698.6893,5026445.523,45.375476,-75.747996,262
KANATA AVE @ GOLDRIDGE DR/EVANSHEN PL,12020,0.0339,143,4,2023-Mar-08,350286.5926,5019728.8245,45.316037,-75.919846,263
BANK ST @ WELLINGTON ST,12111,0.0484,14299,916,2023-Sep-20,367257.707,5031628.5734,45.421804,-75.701903,264
MURPHY CRT @ MARCH RD,12124,0.0488,0,1,2023-Jul-06,347775.6063,5025686.5297,45.369804,-75.951353,265
BRADLEY AVE @ MONTREAL RD,12137,0.0325,450,161,2023-Aug-01,370656.7073,5033392.5937,45.437364,-75.658239,266
CHAPEL ST @ RIDEAU ST,12152,0.0446,2033,241,2023-Sep-23,368892.4083,5032643.2713,45.430786,-75.680885,267
LISGAR ST @ O'CONNOR ST,12166,0.0166,2612,134,2023-Dec-06,367762.7103,5031159.5781,45.417538,-75.695511,268
AKERSON RD/CARRONBRIDGE CIRC @ COPE DR,12196,0.0226,137,58,2023-Jun-22,354386.0729,5015808.3521,45.280482,-75.867955,269
GLOUCESTER ST @ O'CONNOR ST,12221,0.0221,3671,91,2023-Dec-06,367678.7094,5031292.5809,45.418743,-75.696567,270
BRIAN COBURN BLVD @ ESPRIT DR,12304,0.0285,105,87,2023-Jul-05,385141.5803,5035343.552,45.453402,-75.472806,271
CLYDE AVE @ WOODWARD DR,12316,0.0565,29,17,2023-Dec-05,363731.6826,5026363.5251,45.374736,-75.747585,272
MEADOWLANDS DR @ PERRY ST,12357,0.0207,118,35,2023-Apr-25,364439.2071,5023493.5079,45.348852,-75.738898,273
HIGHBURY PARK DR @ LONGFIELDS DR,12393,0.0125,361,4,2023-Dec-14,364163.6305,5015915.9064,45.280692,-75.743323,274
BANK ST @ WELLINGTON ST,12483,0.0496,10739,663,2023-Sep-20,367257.707,5031628.5734,45.421804,-75.701903,275
KIRKWOOD AVE @ IONA ST,12548,0.0435,296,185,2023-May-11,363993.6904,5028136.5462,45.390667,-75.744027,276
BANKFIELD RD @ FIRST LINE RD,12568,0.0891,1,14,2023-Jul-05,366735.6956,5009189.387,45.219945,-75.711379,277
ATRIUM RDG @ RIVER RD,12610,0.027,7,0,2023-Feb-08,367591.4296,5013687.9729,45.260348,-75.699916,278
PORTOBELLO BLVD @ VALIN ST,12617,0.0266,229,11,2023-Mar-09,385350.766,5037697.5693,45.474557,-75.469746,279
NIXON DR/ROGER STEVENS DR @ RIVER RD,12663,0.0528,1,11,2023-Oct-19,373169.7061,5002763.3466,45.16153,-75.630346,280
BLAIR RD @ CLAVER ST,12679,0.0247,208,56,2023-Aug-15,374416.7283,5033434.5777,45.437377,-75.610179,281
ADELINE ST @ PRESTON ST,12734,0.0522,1347,30,2023-Feb-08,366779.7004,5029050.5545,45.39865,-75.708335,282
BRIAN COBURN BLVD @ ESPRIT DR,12735,0.0198,153,104,2023-Jul-26,385141.5803,5035343.552,45.453402,-75.472806,283
BOYCE AVE @ CARLING AVE,12743,0.0299,232,1,2023-Jan-26,359349.6723,5024210.5072,45.355718,-75.803766,284
CHAPEL ST @ RIDEAU ST,12833,0.0338,1860,276,2023-Sep-24,368892.4083,5032643.2713,45.430786,-75.680885,285
CONROY RD @ QUEENSDALE AVE,12899,0.0524,2,2,2023-Mar-07,374351.7398,5024043.5111,45.352887,-75.612334,286
BRADLEY AVE @ MONTREAL RD,12908,0.0323,714,243,2023-Aug-01,370656.7073,5033392.5937,45.437364,-75.658239,287
COLONEL BY DR @ ECHO DR S,12935,0.0076,81,80,2023-Jun-22,368542.7126,5028771.5476,45.395981,-75.685854,288
BEECHWOOD AVE @ JOLLIET AVE,12942,0.0325,175,20,2023-Feb-08,369696.7102,5034119.5939,45.443995,-75.670412,289
METCALFE ST @ WELLINGTON ST,12963,0.0465,2932,613,2023-Sep-27,367565.6992,5031817.5816,45.423477,-75.697944,290
CROWNRIDGE DR @ HOPE SIDE RD,13020,0.0283,12,31,2023-Aug-01,356074.7927,5014981.0662,45.272917,-75.846516,291
DALY AVE @ NICHOLAS ST,13035,0.0407,2958,165,2023-Jun-22,368227.701,5032046.5737,45.425477,-75.689456,292
LANARK AVE/WEST VILLAGE PRIV @ SCOTT ST,13108,0.1233,508,116,2023-Nov-30,363624.6936,5028913.5513,45.397689,-75.748646,293
CONROY RD @ DAVIDSON RD S,13307,0.0513,1,2,2023-Mar-07,374593.746,5023467.5079,45.347681,-75.609327,294
DEFENCE ST @ FERNBANK RD,13470,0.0218,1,2,2023-Mar-07,353397.7405,5014315.507,45.267118,-75.880698,295
ABBOTT ST @ IBER RD,13528,0.0294,61,77,2023-Jul-05,351978.0754,5014876.3961,45.272262,-75.898735,296
MARIER AVE @ MONTREAL RD,13529,0.0349,640,242,2023-Jul-26,370419.7083,5033261.591,45.436207,-75.661285,297
AQUAVIEW DR/LAKERIDGE DR @ BRIAN COBURN BLVD,13540,0.0142,226,89,2023-Jul-26,384776.3381,5035179.1019,45.451965,-75.477502,298
CONROY RD @ DAVIDSON RD N,13571,0.0514,0,2,2023-Mar-07,374573.7515,5023515.5101,45.348115,-75.609575,299
CLYDE AVE @ DOHENY ST,13673,0.0429,259,12,2023-Dec-05,363590.694,5026701.5377,45.377789,-75.749344,300
BANK ST @ QUEEN ST,13719,0.0928,9368,28,2023-Mar-02,367343.704,5031489.58,45.420545,-75.700822,301
ALTA VISTA DR @ CUNNINGHAM AVE,13730,0.0206,201,86,2023-Nov-08,370344.7229,5028017.5448,45.38903,-75.662941,302
RENAUD RD @ NAVAN RD,13761,0.0575,34,8,2023-Oct-25,381816.7611,5032736.549,45.430321,-75.515717,303
FALLOWFIELD RD @ COBBLE HILL DR/O'KEEFE CRT,13768,0.0507,9,6,2023-Jun-07,360826.6658,5015320.4189,45.275608,-75.785921,304
RENAUD RD @ NAVAN RD,14025,0.0756,73,5,2023-Mar-01,381816.7611,5032736.549,45.430321,-75.515717,305
BANK ST @ SHUTTLEWORTH DR/FINDLAY CREEK SC,14035,0.0479,64,0,2023-Feb-23,375967.53,5020175.26,45.31792,-75.592271,306
LAFONTAINE AVE @ MCARTHUR AVE,14047,0.0318,941,25,2023-Jan-10,370949.7123,5032771.5737,45.431748,-75.654578,307
OLD INNES RD @ BANTREE ST,14065,0.1824,32,10,2023-Mar-02,373727.7297,5030352.5602,45.409715,-75.619416,308
BELFAST RD @ TRAINYARDS,14200,0.0653,114,36,2023-Nov-16,371882.7209,5030913.5744,45.414942,-75.642908,309
O'CONNOR ST @ WELLINGTON ST,14208,0.0438,3767,649,2023-Sep-27,367413.6992,5031722.5825,45.422636,-75.699898,310
LONGFIELDS DR @ PAUL METIVIER DR,14214,0.0119,135,159,2023-Aug-02,364841.33,5014200.44,45.265199,-75.734893,311
MARIER AVE @ MONTREAL RD,14276,0.034,1006,351,2023-Jul-26,370419.7083,5033261.591,45.436207,-75.661285,312
EAGLESON RD @ EMERALD MEADOWS DR,14488,0.0298,45,4,2023-Dec-14,354998.6263,5015092.4169,45.273996,-75.86022,313
FERNBANK RD @ ROUNCEY RD,14536,0.0232,1,1,2023-Mar-07,353738.6371,5014617.1452,45.269809,-75.876324,314
BANK ST @ PARKWAY RD,14564,0.067,5,1,2023-Dec-06,378746.7658,5014207.4415,45.263938,-75.557716,315
EAGLESON RD @ FLEWELLYN RD,14590,0.0312,1,1,2023-Mar-07,355333.6235,5014247.4253,45.266369,-75.856036,316
MOODIE DR @ CORKSTOWN RD,14677,0.0326,12,13,2023-Dec-21,356345.651,5022761.4973,45.342907,-75.842255,317
CHAPEL ST @ RIDEAU ST,14722,0.0695,1525,45,2023-Dec-19,368892.4083,5032643.2713,45.430786,-75.680885,318
AQUAVIEW DR/LAKERIDGE DR @ BRIAN COBURN BLVD,14748,0.0362,185,2,2023-Mar-02,384776.3381,5035179.1019,45.451965,-75.477502,319
COOPER ST @ KENT ST,14808,0.02,1585,22,2023-Mar-02,367482.7046,5030889.562,45.415134,-75.699123,320
STONEHAVEN DR @ SAWYER WAY/SUMMITVIEW DR,14916,0.0188,193,3,2023-Mar-01,356561.6663,5015861.0511,45.280799,-75.84022,321
KIRKWOOD AVE @ LAPERRIERE AVE,14927,0.0414,204,119,2023-May-10,364519.694,5026958.5425,45.380023,-75.737452,322
STONEHAVEN DR @ SAWYER WAY/SUMMITVIEW DR,15073,0.0165,168,11,2023-Mar-08,356561.6663,5015861.0511,45.280799,-75.84022,323
CLEARVIEW AVE @ ISLAND PARK DR,15501,0.0092,197,37,2023-Mar-21,363546.6893,5029364.5648,45.401754,-75.749589,324
DUMAURIER AVE @ RICHMOND RD,15507,0.0395,136,10,2023-Mar-08,359627.6654,5023735.5114,45.351422,-75.80027,325
HADLEY CIRC @ MOODIE DR,15619,0.0347,213,15,2023-Nov-01,357136.6483,5020300.4797,45.320704,-75.832423,326
BANK ST @ SHUTTLEWORTH DR/FINDLAY CREEK SC,15664,0.013,60,1,2023-Feb-25,375967.53,5020175.26,45.31792,-75.592271,327
BRAE CRES N @ STITTSVILLE MAIN ST,15813,0.0324,81,8,2023-Sep-19,350441.9909,5013102.9448,45.256405,-75.918473,328
BANK ST @ RIVERDALE AVE,15882,0.0299,257,287,2023-Jun-14,369077.5351,5028116.986,45.390043,-75.679109,329
BAYVIEW RD/BAYVIEW STATION RD @ SCOTT ST/ALBERT ST,16032,0.0492,521,30,2023-Mar-08,365519.037,5030071.5641,45.407947,-75.72431,330
FRIEL ST @ RIDEAU ST,16168,0.0695,2427,34,2023-Dec-19,368771.7024,5032570.5843,45.430143,-75.682437,331
ELGIN ST SB @ WELLINGTON ST W,16193,0.0506,5783,1038,2023-Sep-20,367664.7038,5031877.5774,45.424008,-75.696671,332
BANK ST @ ECHO DR,16205,0.0327,1168,714,2023-Aug-23,368661.7111,5028759.5464,45.395862,-75.684336,333
BRAE CRES N @ STITTSVILLE MAIN ST,16262,0.034,64,20,2023-Sep-13,350441.9909,5013102.9448,45.256405,-75.918473,334
RIVER RD @ SUMMERHILL ST,16293,0.0317,6,36,2023-Jun-29,367496.87,5014254.99,45.265458,-75.70105,335
PERTH ST @ SHEA RD,16306,0.0305,23,1,2023-Jan-10,357526.6124,5006972.343,45.200745,-75.828863,336
PARKDALE AVE @ SHERWOOD DR,16379,0.0246,457,10,2023-Mar-02,365380.703,5028745.545,45.396028,-75.72624,337
CUMBERLAND ST @ RIDEAU ST,16429,0.0775,4873,334,2023-Aug-19,368374.511,5032329.974,45.428014,-75.687543,338
FLORA ST @ KENT ST,16568,0.0186,667,8,2023-Mar-02,367828.7134,5030323.5674,45.41001,-75.694774,339
RIVER RD @ SUMMERHILL ST,16597,0.0296,4,7,2023-Oct-31,367496.87,5014254.99,45.265458,-75.70105,340
BARRAN ST @ FALLOWFIELD RD,16638,0.0393,3,0,2023-Mar-07,362292.6808,5016244.4381,45.283804,-75.767131,341
KENT ST @ QUEEN ST,16663,0.0777,5467,22,2023-Mar-02,367179.6944,5031386.58,45.419633,-75.702931,342
MEADOWLANDS DR @ 68 W OF THATCHER ST/BROOKLANE PS,16731,0.0321,238,4,2023-Dec-19,363498.4427,5022971.4258,45.344233,-75.750965,343
CARP RD @ HWY 417 CARP IC144R51,16742,0.0674,0,4,2023-Aug-01,347517.5659,5015685.4542,45.279827,-75.95551,344
BANK ST @ SLATER ST,16752,0.0766,6825,49,2023-Mar-02,367424.7024,5031354.5769,45.419323,-75.699804,345
FINDLAY CREEK DR @ BANK ST,16815,0.043,81,0,2023-Feb-23,375847.4734,5020459.9651,45.320494,-75.593761,346
ELGIN ST SB @ WELLINGTON ST W,16869,0.0488,2976,857,2023-Sep-20,367664.7038,5031877.5774,45.424008,-75.696671,347
ALBERT ST @ LYON ST,17083,0.0739,4810,126,2023-Sep-19,367062.7002,5031219.5839,45.418141,-75.704447,348
O'CONNOR ST @ SOMERSET ST,17099,0.0192,2829,83,2023-Dec-06,367855.7101,5031012.5739,45.416207,-75.694341,349
BANK ST @ DUN SKIPPER DR,17154,0.0813,11,6,2023-Sep-14,376333.15,5019313.32,45.310128,-75.587732,350
BRIDGESTONE DR @ EAGLESON RD,17242,0.0275,20,0,2023-Mar-07,354872.691,5015403.907,45.276808,-75.861793,351
LAURIER AVE @ O'CONNOR ST,17312,0.0212,6972,223,2023-Dec-06,367636.7007,5031358.5773,45.41934,-75.697095,352
72 S OF NORMANDY CRES N @ FISHER AVE,17479,0.0238,48,3,2023-Dec-21,366712.4259,5024715.2024,45.359647,-75.709738,353
GLADSTONE AVE @ O'CONNOR ST,17495,0.0305,1419,69,2023-Dec-06,368074.7112,5030658.5697,45.413002,-75.691589,354
DAVIDSON RD @ HAWTHORNE RD,17544,0.1106,0,0,2023-Mar-07,376282.7537,5024509.5161,45.356886,-75.587624,355
O'CONNOR ST @ WELLINGTON ST,17564,0.0278,2678,41,2023-Dec-06,367413.6992,5031722.5825,45.422636,-75.699898,356
LYON ST @ SLATER ST,17705,0.0624,3776,162,2023-Sep-19,367102.7046,5031152.5874,45.417535,-75.703944,357
SAVILLE ROW @ WOODROFFE AVE,17741,0.0322,295,7,2023-Dec-06,361779.6766,5026185.5279,45.373295,-75.772525,358
ROSEHILL AVE @ HUNTMAR DR,17748,0.0248,272,19,2023-Apr-25,350500.3529,5016458.471,45.286595,-75.917421,359
BLAIS RD @ BANK ST,17779,0.063,16,1,2023-Jul-06,376154.7563,5019727.4744,45.313872,-75.589947,360
KENT ST @ WELLINGTON ST,17878,0.0603,7688,1030,2023-Sep-20,367097.6978,5031526.5735,45.4209,-75.703961,361
RIDEAU ST @ WALLER ST,18062,0.1925,2974,44,2023-Dec-19,368282.7479,5032274.5841,45.427524,-75.688723,362
THORNDALE DR @ WALKLEY RD,18190,0.025,65,25,2023-May-10,369465.7242,5025431.5251,45.365844,-75.674504,363
STRANDHERD DR @ LIEBE TERR,18196,0.0357,8,0,2023-Jan-10,362647.7598,5013682.8728,45.260726,-75.762903,364
DALY AVE @ WALLER ST,18294,0.1552,1090,75,2023-Jul-05,368341.18,5032120.449,45.426132,-75.687996,365
WALKLEY RD @ WEXFORD WAY,18306,0.0259,52,45,2023-May-25,369343.7151,5025362.5284,45.365234,-75.67607,366
KENT ST @ WELLINGTON ST,18343,0.0604,6018,775,2023-Sep-20,367097.6978,5031526.5735,45.4209,-75.703961,367
BANK ST @ SNAKE ISLAND RD/VICTORIA ST,18453,0.0698,2,1,2023-Dec-05,383696.7883,5010121.407,45.226636,-75.495297,368
JOCKVALE RD @ EXETER DR/TARTAN DR,18497,0.0179,218,72,2023-Sep-21,363323.6795,5014773.4161,45.270483,-75.754163,369
JOCKVALE RD @ FABLE ST/WEYBRIDGE DR E,18513,0.0207,314,68,2023-Sep-21,362512.68,5015143.4318,45.273879,-75.764455,370
AVONCOURT WAY @ WALKLEY RD,18708,0.0262,93,38,2023-May-10,369605.7147,5025515.5332,45.366587,-75.672706,371
PATRICIA AVE @ RICHMOND RD,18724,0.033,1018,32,2023-Dec-19,363953.6861,5028753.5558,45.396222,-75.744464,372
MILL HILL RD @ ROBERTSON RD,18862,0.0231,53,10,2023-Nov-30,356241.6562,5019959.4668,45.317701,-75.843873,373
BELFAST RD @ TREMBLAY RD,18906,0.0348,201,209,2023-Oct-18,371558.7187,5031320.5636,45.418635,-75.646992,374
ELGIN ST NB @ WELLINGTON ST E/RIDEAU ST,19324,0.0603,2320,56,2023-Mar-02,367802.7064,5031964.5858,45.424778,-75.694897,375
BRIDGE ST/MAPLE AVE @ MANOTICK MAIN ST,19472,0.0733,40,1,2023-Mar-14,368699.7029,5009932.3887,45.226455,-75.686279,376
FINDLAY CREEK DR @ BANK ST,19525,0.0182,74,2,2023-Feb-25,375847.4734,5020459.9651,45.320494,-75.593761,377
EAGLESON RD @ FERNBANK RD,19659,0.0168,63,0,2023-Nov-22,354798.6293,5015587.4247,45.278465,-75.862719,378
SOUTHMORE DR @ WALKLEY RD,19661,0.0253,84,32,2023-May-10,369710.7241,5025574.5289,45.367108,-75.671358,379
MAIN ST @ RIVERDALE AVE,19704,0.0266,135,298,2023-Jun-14,369431.7411,5029532.494,45.402746,-75.674401,380
GRANT CARMAN DR @ MEADOWLANDS DR,19748,0.0159,491,16,2023-Nov-29,365051.6941,5023901.5074,45.35247,-75.731033,381
BYRON AVE @ CHURCHILL AVE,19809,0.03,785,27,2023-Dec-05,363274.6927,5028180.5505,45.391123,-75.753203,382
FISHER AVE @ TUNIS AVE,20104,0.0278,276,285,2023-Sep-27,365496.6991,5027596.5341,45.385679,-75.7249,383
BRIDGE ST/MAPLE AVE @ MANOTICK MAIN ST,20395,0.0722,56,2,2023-Mar-14,368699.7029,5009932.3887,45.226455,-75.686279,384
JOCKVALE RD @ LONGFIELDS DR,20518,0.024,31,0,2023-Mar-08,364829.29,5014001.03,45.263406,-75.73507,385
COLONEL BY DR/SUSSEX DR @ RIDEAU ST,20608,0.0548,5990,60,2023-Mar-02,367921.6967,5032044.5835,45.425487,-75.693366,386
ALBERT ST @ ELGIN ST/MACKENZIE KING BRIDGE,20816,0.0719,3841,16,2023-Mar-02,367850.7116,5031711.5814,45.422497,-75.694316,387
BANKFIELD RD @ MANOTICK MAIN ST/RIDEAU VALLEY DR,20962,0.0783,4,19,2023-Sep-28,368431.6985,5010157.4005,45.228504,-75.689663,388
LYON ST @ WELLINGTON ST,21213,0.0791,1195,21,2023-Mar-02,366935.271,5031426.166,45.420011,-75.706049,389
ROBERTSON RD @ WESTCLIFFE RD,21461,0.0255,89,6,2023-Nov-23,356395.6441,5020053.4659,45.318536,-75.8419,390
MCCARTHY RD @ WALKLEY RD,21689,0.0265,62,27,2023-May-10,369249.7173,5025300.5224,45.364685,-75.677278,391
PRINCE OF WALES DR @ NORMANDY CRES/MELFA CRES,21692,0.023,59,12,2023-Mar-08,367427.1301,5025222.8929,45.364152,-75.700552,392
CASTLEFRANK RD @ KATIMAVIK RD,21845,0.0346,556,8,2023-Dec-20,351950.4529,5018943.5159,45.308861,-75.8987,393
JOCKVALE RD @ LONGFIELDS DR,22115,0.0233,43,112,2023-Jun-21,364829.29,5014001.03,45.263406,-75.73507,394
BANK ST @ RIDEAU RD,22211,0.1071,0,4,2023-Dec-06,376954.7525,5017844.4726,45.296848,-75.58002,395
PARKDALE AVE @ SCOTT ST,22256,0.0576,1129,105,2023-Mar-08,364949.7036,5029726.5598,45.404892,-75.731625,396
ELGIN ST @ QUEEN ST,22352,0.0622,3465,47,2023-Mar-09,367804.7025,5031779.578,45.423113,-75.694895,397
CARLING AVE @ EDGEWORTH AVE,22845,0.0266,387,83,2023-Jul-20,361262.6802,5025424.5244,45.36649,-75.779213,398
ELGIN ST @ SLATER ST,23051,0.0545,4173,30,2023-Mar-02,367890.7077,5031646.5751,45.421909,-75.693813,399
KIRKWOOD AVE @ MERIVALE RD,23240,0.031,339,27,2023-Apr-12,364853.7014,5026646.5424,45.377187,-75.733226,400
BESSERER ST @ WALLER ST,23721,0.1419,1707,21,2023-Dec-19,368315.9333,5032191.9778,45.426778,-75.68831,401
CUMBERLAND ST @ RIDEAU ST,23846,0.1601,5345,68,2023-Dec-19,368374.511,5032329.974,45.428014,-75.687543,402
