FID,OBJECTID,Intersecti,All_Motori,F__Truck,Pedestrian,Bicycles_N,Data_Colle
299,299,FRASER AVE @ BYRON AVE,4132,1.43%,363,330,2017-Aug-29
300,300,FRASER FIELDS WAY @ STRANDHERD DR,19820,5.14%,3,1,2017-May-25
301,301,FRIEL ST @ RIDEAU ST,11355,8.21%,3240,130,2017-May-09
302,302,GAINES DR @ MELDRUM AVE,796,2.29%,30,0,2017-Jan-25
303,303,GARDENWAY DR @ PARADISE CRES W/SATURN CRES W,1986,4.46%,148,39,2017-Jun-28
304,304,GILMOUR ST @ KENT ST,15812,2.26%,1953,76,2017-Apr-05
305,305,GILMOUR ST @ O'CONNOR ST,14348,2.21%,1790,95,2017-Mar-21
306,306,GLADSTONE AVE @ KENT ST,23138,3.00%,1407,252,2017-Apr-25
307,307,GLADSTONE AVE @ METCALFE ST,13272,2.56%,1200,38,2017-Apr-04
308,308,GLADSTONE AVE @ O'CONNOR ST,20347,2.44%,1929,73,2017-Mar-21
309,309,GLADSTONE AVE @ PRESTON ST,20025,6.54%,1596,470,2017-Jun-20
310,310,GLOUCESTER ST @ KENT ST,15646,2.67%,5812,81,2017-Apr-05
311,311,GLOUCESTER ST @ METCALFE ST,10777,2.08%,6991,51,2017-Apr-04
312,312,GLOUCESTER ST @ O'CONNOR ST,13579,2.88%,5297,75,2017-Mar-21
313,313,GOLDENBROOK WAY @ HARVEST VALLEY AVE,4176,1.74%,120,1,2017-Mar-21
314,314,GOLDENROD ST @ SORREL ST,2276,3.28%,1503,6,2017-Jan-11
315,315,GOLDENROD ST @ YARROW ST,1123,3.57%,1051,0,2017-Jan-11
316,316,GOULBOURN FORCED RD @ INNOVATION DR,9562,3.24%,396,47,2017-Jun-07
317,317,GRANT CARMAN DR @ MEADOWLANDS DR,22173,1.51%,353,3,2017-Mar-22
318,318,GREENBANK RD @ HIGHBURY PARK DR,24208,2.12%,34,4,2017-Apr-20
319,319,GREENBANK RD @ KILBIRNIE DR,7667,3.83%,73,11,2017-Nov-09
320,320,GREENBANK RD @ MALVERN DR/FOXFIELD DR,31206,2.15%,212,6,2017-Mar-30
321,321,GREENFIELD AVE @ HWY 417 NICHOLAS IC118R43,15559,3.01%,144,9,2017-Feb-02
322,322,GREENFIELD AVE @ MAIN ST,12968,1.39%,271,27,2017-Feb-02
323,323,GRENFELL CRES @ WOODROFFE AVE,30191,1.63%,32,36,2017-Jun-28
324,324,GROVE AVE @ SENECA ST,1275,6.17%,363,118,2017-Jul-27
325,325,HAIG DR @ PLEASANT PARK RD,10832,2.63%,254,127,2017-Jun-01
326,326,HAMLET RD @ OTHELLO AVE,7608,2.30%,615,31,2017-May-25
327,327,HARVEST VALLEY AVE @ GLASTONBURY WALK,2944,5.23%,230,15,2017-Oct-12
328,328,HAWTHORNE AVE @ MAIN ST,24502,2.36%,576,38,2017-Dec-14
329,329,HAWTHORNE AVE @ MAIN ST,19191,2.56%,464,21,2017-Mar-07
330,330,HAWTHORNE RD @ LEITRIM RD,20180,14.99%,0,4,2017-May-18
331,331,HAWTHORNE RD @ RIDEAU RD,9651,24.54%,0,1,2017-Jun-08
332,332,HAWTHORNE RD @ WHYTE SIDE RD,16199,15.53%,1,5,2017-Jul-27
333,333,HAZEL ST @ MAIN ST,15990,3.44%,701,19,2017-Mar-07
334,334,HERZBERG RD @ MARCH RD,46009,1.56%,32,12,2017-Mar-30
335,335,HIGHBURY PARK DR @ LONGFIELDS DR,10572,2.57%,197,6,2017-Apr-25
336,336,HIGHBURY PARK DR @ LONGFIELDS DR,10501,1.96%,176,0,2017-Jan-11
337,337,HIGHBURY PARK DR @ LONGFIELDS DR,11627,2.36%,335,20,2017-Sep-19
338,338,HILLMAN MARSH WAY @ CEDAR CREEK DR,1491,8.90%,81,8,2017-Jun-15
339,339,HINCKS LANE E @ RIVERSIDE DR,5092,2.83%,354,55,2017-Sep-20
340,340,HOLLAND AVE @ SPENCER ST,12947,5.72%,1465,17,2017-Jan-11
341,341,HOLLAND AVE @ TYNDALL ST,16804,4.03%,464,21,2017-Jan-11
342,342,HOLLAND AVE @ WELLINGTON ST,21648,5.00%,3906,123,2017-Nov-22
343,343,HOLLAND AVE/TUNNEY'S PASTURE @ SCOTT ST,22419,13.80%,5493,90,2017-Nov-22
344,344,HOLLY ACRES RD @ TRANSITWAY - BAYSHORE/278 N O,10691,11.77%,26,15,2017-Mar-30
345,345,HUNT CLUB RD @ CANADAIR PRIV,35482,4.81%,99,9,2017-May-01
346,346,HUNT CLUB RD @ DOWNPATRICK RD/MCCARTHY RD,34024,5.66%,235,18,2017-Apr-25
347,347,HUNT CLUB RD @ LORRY GREENBERG DR/SABLE RIDGE,31634,4.94%,128,11,2017-Apr-25
348,348,HUNT CLUB RD @ MALAK ST,27314,5.54%,13,9,2017-Jun-01
349,349,HUNTER'S RUN DR @ JEANNE D'ARC BLVD,20149,2.39%,143,9,2017-May-09
350,350,HUNTERSFIELD DR @ PIKE ST,3374,2.28%,39,4,2017-Nov-30
351,351,HUNTMAR DR @ MAPLE GROVE RD,18106,2.35%,126,0,2017-Nov-23
352,352,HWY 417 CASTLEFR IC139R61 @ KANATA AVE,24167,3.98%,18,7,2017-Dec-06
353,353,HWY 417 INNES IC112R68 @ INNES RD,58834,4.94%,3,8,2017-Apr-11
354,354,HWY 417 MOODIE IC134R52 @ MOODIE DR,25613,3.21%,1,2,2017-Jan-12
355,355,INDUSTRIAL AVE @ ALTA VISTA DR/SANDFORD FLEMIN,42991,5.58%,517,31,2017-Nov-21
356,356,INDUSTRIAL AVE @ RIVERSIDE DR,61124,6.48%,365,17,2017-Nov-29
357,357,INNES RD @ JEANNE D'ARC BLVD/MER BLEUE RD,49256,2.88%,271,47,2017-May-03
358,358,INNES RD @ ORCHARDVIEW AVE/ESPRIT DR,29923,3.08%,251,33,2017-May-03
359,359,INNES RD @ ORLEANS BLVD,40237,3.47%,361,40,2017-May-03
360,360,INNES RD @ PORTOBELLO BLVD,25192,3.88%,277,20,2017-May-09
361,361,INNES RD @ PROVENCE AVE,19339,4.24%,498,15,2017-May-09
362,362,INNES RD @ TENTH LINE RD,54664,2.73%,462,52,2017-May-03
363,363,INNES RD @ VISENEAU DR,33290,2.92%,185,1,2017-Jan-25
364,364,INNES RD/BEATON RD @ DUNNING RD,5947,7.41%,2,3,2017-Oct-17
365,365,IRIS ST @ WOODROFFE AVE,52552,2.08%,226,7,2017-Mar-22
366,366,ISABELLA ST/HWY 417 O'CONN IC119BR57 @ O'CONNO,29190,3.18%,989,28,2017-Mar-21
367,367,ISLAND PARK DR @ RICHMOND RD,25538,2.20%,773,251,2017-Apr-25
368,368,ISLAND PARK DR @ SCOTT ST,27206,1.18%,618,69,2017-Mar-28
369,369,JAMES ST @ KENT ST,14437,2.65%,1281,118,2017-May-30
370,370,JASMINE CRES S @ OGILVIE RD,14699,4.82%,188,8,2017-Feb-09
371,371,JEANNE D'ARC BLVD @ VORLAGE DR W/VOYAGEUR WAY,11906,3.18%,334,12,2017-May-09
372,372,JOCKVALE RD @ STRANDHERD DR,29662,3.71%,195,6,2017-Apr-25
373,373,JOSHUA ST @ RENAUD RD,10287,2.61%,73,5,2017-May-25
374,374,KANATA AVE @ GOLDRIDGE DR/EVANSHEN PL,12188,2.81%,215,64,2017-Jun-07
375,375,KANATA AVE @ TERRY FOX DR,20840,3.11%,16,10,2017-Apr-11
376,376,KENT ST @ FLORENCE ST,14217,2.63%,957,98,2017-May-30
377,377,KENT ST @ LAURIER AVE,18748,3.23%,12631,432,2017-Apr-05
378,378,KENT ST @ MACLAREN ST,13462,2.68%,1690,156,2017-May-30
379,379,KENT ST @ NEPEAN ST,14145,2.49%,4312,72,2017-Apr-05
380,380,KENT ST @ QUEEN ST,12975,4.03%,12009,81,2017-Apr-05
381,381,KENT ST @ SLATER ST,22976,11.69%,13942,34,2017-Mar-28
382,382,KENT ST @ SOMERSET ST,21327,2.80%,4004,196,2017-Apr-05
383,383,KENT ST @ SPARKS ST,9434,2.47%,10083,31,2017-Apr-05
384,384,KENT ST @ WELLINGTON ST,26107,5.83%,4110,56,2017-Apr-05
385,385,KEYWORTH AVE @ SUNNYMEDE AVE,576,7.41%,57,50,2017-Aug-29
386,386,KILMARNOCK WAY @ KILBIRNIE DR,1958,9.58%,132,26,2017-Sep-19
387,387,KINBURN SIDE RD @ LOGGERS WAY,1816,8.22%,37,0,2017-Jan-25
388,388,KINBURN SIDE RD @ STONECREST RD,2196,11.64%,3,23,2017-Jun-14
389,389,KING EDWARD AVE @ ST. PATRICK ST,40378,7.93%,755,90,2017-May-09
390,390,KING EDWARD AVE @ SUSSEX DR,28637,2.21%,937,648,2017-May-18
391,391,KIRKWOOD AVE @ IONA ST,12530,4.33%,111,100,2017-May-25
392,392,KIRKWOOD AVE @ RICHMOND RD,16478,4.26%,1139,141,2017-Apr-20
393,393,KIRKWOOD AVE @ SEBRING AVE,14403,3.39%,327,139,2017-Jun-08
394,394,KNIGHTSBRIDGE RD @ LOCKHART AVE,2339,5.69%,345,9,2017-Feb-22
395,395,KNIGHTSBRIDGE RD @ WOODROFFE AVE,15815,2.58%,170,3,2017-Feb-22
396,396,KNOXDALE RD @ 33 E OF CAROLA ST/MANORDALE PS,6114,2.56%,178,11,2017-Mar-30
397,397,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,15205,7.28%,305,0,2017-Dec-14
398,398,LAMPLIGHTERS DR @ FOSTERBROOK WAY,515,5.08%,101,2,2017-Nov-09
399,399,LANARK AVE/WEST VILLAGE PRIV @ SCOTT ST,14039,2.30%,435,66,2017-Mar-28
400,400,LAURIER AVE @ LYON ST,17345,1.69%,5372,177,2017-Dec-13
401,401,LAURIER AVE @ O'CONNOR ST,18588,2.79%,11945,272,2017-Mar-21
402,402,LEES AVE / GRAHAM AVE @ MAIN ST,18363,3.83%,706,780,2017-Jul-06
403,403,LEES AVE / GRAHAM AVE @ MAIN ST,17829,3.99%,588,31,2017-Mar-07
404,404,LEES AVE @ KING EDWARD AVE/MANN AVE,27608,4.58%,569,9,2017-Dec-14
405,405,LEES AVE @ KING EDWARD AVE/MANN AVE,25840,5.44%,790,8,2017-Feb-02
406,406,LEGGET DR @ 386 W OF SCHNEIDER RD/MITEL ACCESS,6227,2.74%,1428,8,2017-Apr-11
407,407,LEGGET DR @ HERZBERG RD,14083,1.20%,61,180,2017-Aug-29
408,408,LEGGET DR @ SOLANDT RD,13341,2.22%,253,17,2017-Apr-11
409,409,LEGGET DR @ TERRY FOX DR,12662,1.95%,333,185,2017-Jun-07
410,410,LEONARD AVE @ GROVE AVE,990,7.95%,196,133,2017-Jul-27
411,411,LEVECHE WAY @ MAPLE GROVE RD,6646,2.34%,56,7,2017-Jun-29
412,412,LIMEBANK RD @ RIDEAU RD,8652,4.24%,1,7,2017-Apr-12
413,413,LIMEBANK RD @ RIDEAU RD,8652,4.24%,1,7,2017-Apr-12
414,414,LISGAR ST @ METCALFE ST,11044,1.90%,4692,29,2017-Apr-04
415,415,LISGAR ST @ O'CONNOR ST,12436,2.64%,3265,133,2017-Mar-21
416,416,LONGFIELDS DR @ PAUL METIVIER DR,14766,3.10%,62,63,2017-Jun-22
417,417,LONGFIELDS DR @ WOODROFFE AVE,37769,2.07%,76,3,2017-Mar-02
418,418,MACFARLANE AVE @ RUSKIN ST,6709,4.13%,695,31,2017-Nov-30
419,419,MACLAREN ST @ METCALFE ST,10122,1.64%,1820,29,2017-Apr-04
420,420,MAIN ST @ BECKWITH RD/BOWER ST,14700,2.87%,176,5,2017-Mar-07
421,421,MAIN ST @ OBLATE AVE,15625,3.53%,502,22,2017-Mar-07
422,422,MAIN ST @ RIVERDALE AVE,25291,2.64%,67,7,2017-Dec-14
423,423,MAIN ST @ RIVERDALE AVE,19124,2.20%,92,7,2017-Mar-07
424,424,MARCH RD @ RICHARDSON SIDE RD,39099,1.92%,8,18,2017-Apr-11
425,425,MARCH RD @ RICHARDSON SIDE RD,40617,2.03%,51,8,2017-Nov-02
426,426,MARCH RD @ RICHARDSON SIDE RD,39099,1.92%,8,18,2017-Apr-11
427,427,MARCH VALLEY RD @ TERRY FOX DR,10601,1.41%,446,284,2017-Jun-07
428,428,MARKETPLACE AVE @ RIOCAN AVE,11811,3.70%,514,13,2017-May-25
429,429,MAXIME ST @ CYRVILLE RD,13855,3.17%,98,39,2017-May-31
430,430,MCGILLIVRAY ST @ MUTCHMOR RD,848,2.36%,90,267,2017-Sep-20
431,431,MCKITRICK DR @ SUMNER ST,1063,3.39%,37,3,2017-Apr-26
432,432,MCLEOD ST @ O'CONNOR ST,15867,1.94%,1499,13,2017-Mar-21
433,433,MCLEOD ST W @ METCALFE ST,9648,1.04%,401,8,2017-Apr-04
434,434,MCRAE AVE @ RICHMOND RD,15411,3.32%,2457,114,2017-Apr-20
435,435,MEADOWLANDS DR @ 68 W OF THATCHER ST/BROOKLANE,15185,2.94%,87,5,2017-Mar-22
436,436,MELFORT ST @ WALKLEY RD,24021,6.80%,196,6,2017-Apr-11
437,437,MER BLEUE RD @ WALL RD,4562,5.03%,5,16,2017-Jun-15
438,438,MERIVALE RD @ MACFARLANE RD,20859,4.24%,19,38,2017-May-24
439,439,MERIVALE RD @ WOODFIELD DR/ROYDON PL,41949,2.75%,256,2,2017-Mar-13
440,440,MERTON ST @ SCOTT ST,13800,18.39%,520,49,2017-Nov-29
441,441,METCALFE ST @ GILMOUR ST,10505,1.51%,1402,35,2017-Apr-04
442,442,METCALFE ST @ LAURIER AVE,18086,1.86%,11444,186,2017-Apr-04
443,443,METCALFE ST @ NEPEAN ST,10380,2.13%,5717,16,2017-Apr-04
444,444,METCALFE ST @ PATTERSON AVE,709,1.85%,121,107,2017-Jul-26
445,445,METCALFE ST @ PRETORIA AVE,8160,2.69%,410,90,2017-Jun-29
446,446,METCALFE ST @ QUEEN ST,9686,3.55%,9849,56,2017-Apr-04
447,447,METCALFE ST @ SLATER ST,18356,10.98%,15564,37,2017-Apr-04
448,448,METCALFE ST @ SOMERSET ST,14079,2.07%,2902,65,2017-Apr-04
449,449,METCALFE ST @ SPARKS ST,3635,2.34%,8125,8,2017-Apr-04
450,450,METCALFE ST @ WELLINGTON ST,19509,11.69%,5963,11,2017-Apr-04
451,451,MICHAEL COWPLAND DR @ TERENCE MATTHEWS CRES E,11169,2.05%,255,23,2017-May-25
452,452,MILTON RD @ NAVAN RD,10196,10.77%,0,4,2017-May-31
453,453,MILTON RD @ NAVAN RD,8607,5.14%,1,0,2017-Mar-21
454,454,MISS OTTAWA ST @ MONTREAL RD,25177,2.58%,319,6,2017-Apr-11
455,455,MITCH OWENS RD @ DOZOIS RD/LIMEBANK RD,17813,7.17%,22,7,2017-May-04
456,456,MITCH OWENS RD @ OLD PRESCOTT RD,14836,10.21%,1,2,2017-May-04
457,457,MITCH OWENS RD @ STAGECOACH RD,18090,8.66%,2,8,2017-May-04
458,458,MOFFATT POND CRT/COBBLE HILL DR @ ANJANA CIRC,866,4.36%,100,3,2017-Nov-08
459,459,MONTREAL RD @ OGILVIE RD,35586,3.05%,724,38,2017-May-09
460,460,MONTREAL RD @ SHEFFORD RD,38996,3.02%,357,21,2017-Apr-11
461,461,MONTREAL RD @ SINCLAIR ST,26295,2.67%,356,8,2017-Apr-11
462,462,MOODIE DR @ 200 N OF ROBERTSON RD,19493,3.18%,88,1,2017-Mar-08
463,463,MOODIE DR @ CORKSTOWN RD,22563,3.80%,28,410,2017-Sep-13
464,464,MOODIE DR @ FITZGERALD RD/STAFFORD RD,23326,3.01%,164,4,2017-Mar-08
465,465,MOODIE DR @ ROBERTSON RD,48129,2.59%,443,3,2017-Mar-08
466,466,MOODIE DR @ TIMM DR,22235,2.74%,3,6,2017-Mar-08
467,467,MORISSET AVE @ CALDWELL AVE,1564,10.69%,252,68,2017-Jun-28
468,468,MURRAY ST @ SUSSEX DR,20608,1.64%,2114,45,2017-Dec-14
469,469,NAVAN RD @ PAGE RD,10914,7.72%,29,10,2017-May-25
470,470,NAVAN RD @ TENTH LINE RD,10475,6.76%,4,2,2017-May-03
471,471,NEPEAN ST @ BANK ST,9229,7.49%,9220,556,2017-Aug-29
472,472,NORTH BLUFF DR @ CORAL BERRY AVE/EYE BRIGHT CR,1886,0.96%,73,11,2017-Jul-27
473,473,O'CONNOR ST @ QUEEN ST,10135,4.31%,8502,42,2017-Mar-21
474,474,O'CONNOR ST @ SLATER ST,19411,11.99%,12230,50,2017-Mar-21
475,475,O'CONNOR ST @ SOMERSET ST,17941,2.52%,3430,190,2017-Mar-21
476,476,O'CONNOR ST @ SPARKS ST,4441,2.95%,6555,9,2017-Mar-21
477,477,O'CONNOR ST @ THIRD AVE,2924,2.69%,596,517,2017-Aug-29
478,478,O'CONNOR ST @ WELLINGTON ST,23009,5.60%,2849,16,2017-Mar-21
479,479,OGILVIE RD @ 240 W OF BLAIR RD,23310,2.90%,741,16,2017-Apr-11
480,480,OGILVIE RD @ ELMRIDGE DR/JASMINE CRES N,14342,5.03%,431,3,2017-Feb-09
481,481,OGILVIE RD @ MATHESON RD/PALMERSTON DR,30094,2.15%,417,176,2017-May-09
482,482,OLD PRESCOTT RD @ PARKWAY RD,6349,7.25%,3,7,2017-May-04
483,483,OLD SECOND LINE RD @ TERRY FOX DR,18333,2.21%,93,16,2017-Mar-30
484,484,OLDFIELD ST @ WATERBRIDGE DR,1664,3.25%,133,1,2017-Jan-17
485,485,OTHELLO AVE @ WESTON DR,4247,2.39%,107,35,2017-May-25
486,486,OTTAWA RIVER PKWY @ RIVER ST/SLIDELL ST,26574,0.72%,140,47,2017-Apr-25
487,487,PARENT AVE @ ST. ANDREW ST,7040,8.75%,2283,271,2017-May-18
488,488,PARKDALE AVE @ SCOTT ST,23231,10.87%,1574,82,2017-Nov-29
489,489,PARKDALE AVE @ SHERWOOD DR,15646,2.90%,490,199,2017-Jun-01
490,490,PATRICIA AVE @ RICHMOND RD,12931,4.01%,749,179,2017-Apr-25
491,491,PAUL ANKA DR @ UPLANDS DR,7922,4.76%,619,79,2017-Jun-07
492,492,PAUL METIVIER DR @ TEMAGAMI DR,4000,2.55%,97,1,2017-Mar-02
493,493,PEPPERGRASS RD N @ SPRINGRIDGE DR,1338,6.99%,57,19,2017-Jun-28
494,494,PEPPERGRASS RD S @ SPRINGRIDGE DR,1914,5.74%,51,23,2017-Jul-06
495,495,PINECREST RD @ RICHMOND RD,35304,2.77%,211,1,2017-Jan-12
496,496,PINNACLE ST @ FIELDFAIR WAY/PENNYROYAL CRES,1607,2.65%,27,0,2017-Apr-19
497,497,PINNACLE ST @ PENNYROYAL CRES/FIELDFAIR WAY,277,9.47%,49,0,2017-Apr-19
498,498,PLEASANT PARK RD @ DELMAR DR/NORWAY CRES E,7072,2.22%,175,218,2017-Jun-01
499,499,PORTOBELLO BLVD @ AQUAVIEW DR/NANTES ST,5620,3.65%,195,14,2017-May-25
500,500,PORTOBELLO BLVD @ VALIN ST,12213,2.54%,204,19,2017-Apr-20
501,501,PRESTON ST @ SOMERSET ST,18027,6.61%,1893,530,2017-Jun-20
502,502,PRINCE OF WALES DR @ FALLOWFIELD RD,23202,0.69%,5,2,2017-Jan-14
503,503,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,41526,1.95%,529,14,2017-Mar-22
504,504,PRINCE OF WALES DR @ MERIVALE RD,18671,0.95%,4,0,2017-Jan-14
505,505,QUAIL RUN AVE @ SABLE RIDGE DR E,1286,2.55%,90,3,2017-Jan-25
506,506,QUEEN ELIZABETH DRWY @ SOMERSET ST,7254,0.36%,1303,678,2017-May-30
507,507,QUIGLEY HILL RD @ REGIONAL RD 174,19203,4.28%,0,4,2017-Jul-06
508,508,RAMSAYVILLE RD @ RIDGE RD,6283,1.04%,0,2,2017-Jul-12
509,509,REGIONAL RD 174 @ TRIM RD,34176,4.77%,40,13,2017-Apr-19
510,510,RICHARDSON SIDE RD @ TERRY FOX DR,22907,3.41%,9,4,2017-Nov-23
511,511,RICHARDSON SIDE RD/TERON RD @ STEACIE DR,12074,3.29%,54,4,2017-Nov-27
512,512,RICHARDSON SIDE RD/TERON RD @ STEACIE DR,40617,2.03%,51,8,2017-Nov-02
513,513,RICHMOND RD @ 141 S OF ROBERTSON RD/TOWNHALL,5562,4.09%,240,1,2017-Mar-08
514,514,RICHMOND RD @ 170 S OF KIMBERLEY RD/OUR LADY O,4206,4.46%,230,0,2017-Mar-08
515,515,RICHMOND RD @ BELLFIELD ST/RIDGEVALLEY DR,16759,3.30%,193,27,2017-May-25
516,516,RICHMOND RD @ HARTLEIGH AVE,12514,2.48%,72,81,2017-Aug-03
517,517,RICHMOND RD @ HARTLEIGH AVE,14085,2.65%,53,63,2017-Apr-25
518,518,RICHMOND RD @ HARTLEIGH AVE,14302,2.56%,48,13,2017-Nov-16
519,519,RICHMOND RD @ LYNHAR RD/STAFFORD RD,37087,2.51%,413,2,2017-Mar-08
520,520,RICHMOND RD @ NORTHSIDE RD E,36058,2.36%,254,1,2017-Mar-08
521,521,RICHMOND RD @ ROBERTSON RD,35071,2.54%,167,4,2017-Mar-08
522,522,RICHMOND RD @ STEEPLE HILL CRES N,7617,3.98%,3,0,2017-Feb-02
523,523,RICHMOND RD @ STINSON AVE,34068,2.51%,300,3,2017-Mar-08
524,524,RIDEAU ST @ WALLER ST,11250,26.83%,4123,64,2017-May-09
525,525,RIDEAU VALLEY DR E @ ROGER STEVENS DR E,9319,6.89%,1,7,2017-Jun-08
526,526,RIVER RD @ 175 N OF EARL ARMSTRONG/LOBLAWS SC,15510,1.93%,46,3,2017-Mar-28
527,527,RIVERSIDE DR @ 175 S OF HUNT CLUB  RD/RUNWAY C,29997,1.94%,56,30,2017-Apr-20
528,528,RIVERSIDE DR @ SMYTH RD NORTH SIDE RAMP,37557,2.79%,29,4,2017-Nov-29
529,529,RIVERSIDE DR @ SMYTH RD SOUTH SIDE RAMP,41879,2.72%,11,1,2017-Nov-21
530,530,ROBERTSON RD @ VANIER RD,32437,2.26%,229,2,2017-Mar-08
531,531,ROBERTSON RD @ WESTCLIFFE RD,24447,2.85%,98,2,2017-Mar-08
532,532,ROSS AVE @ SPENCER ST,1915,1.71%,279,96,2017-Nov-09
533,533,RUSSELL RD S @ ST. LAURENT BLVD,28302,8.55%,133,7,2017-Apr-11
534,534,SAUNDERSON DR @ PLEASANT PARK RD,7784,2.40%,184,102,2017-Jun-15
535,535,SAVILLE ROW @ WOODROFFE AVE,18564,2.99%,292,1,2017-Mar-22
536,536,SCALA AVE @ JANET WAY W/MARKWICK CRES W,2129,3.93%,165,10,2017-Sep-07
537,537,SCALA AVE @ NEWCARLISLE CRES E,1917,3.61%,100,3,2017-Sep-07
538,538,SCOTT ST @ WESTERN AVE,13227,3.27%,384,366,2017-May-25
539,539,SHEENBORO CRES @ VARENNES BLVD,4048,3.96%,105,38,2017-Sep-20
540,540,SHELLEY AVE @ RUSSELL RD,10862,3.77%,92,75,2017-Jun-14
541,541,SHORELINE DR N @ SPRATT RD,7954,3.01%,480,4,2017-Nov-30
542,542,SMYTH RD @ SOUTH HAVEN PL/GENERAL HOSPITAL ENTRANCE W,27078,3.27%,225,51,2017-Apr-11
543,543,SNAKE ISLAND RD @ STAGECOACH RD,8882,10.96%,0,3,2017-Jun-08
544,544,SOUTH ISLAND PARK DR N @ SOUTH RIVER DR N,886,2.77%,4,18,2017-May-16
545,545,SOUTH RIVER DR N @ VAN VLIET RD N,1476,4.55%,57,21,2017-May-16
546,546,SOUTHMORE DR @ THORNDALE DR,1213,5.00%,106,21,2017-May-16
547,547,ST. JOSEPH BLVD @ 500 E OF HART RD,24169,1.10%,8,6,2017-Apr-19
548,548,ST. JOSEPH BLVD @ FOREST VALLEY DR/YOUVILLE DR,27328,1.88%,51,56,2017-May-10
549,549,ST. JOSEPH BLVD @ REGIONAL RD 174/TRANSITWAY,30133,5.05%,174,39,2017-May-10
550,550,ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD,25615,3.44%,62,23,2017-Apr-26
551,551,ST. LAURENT BLVD @ 125 N OF QUEEN MARY ST/ZELL,31990,4.49%,642,15,2017-Apr-11
552,552,ST. LAURENT BLVD @ COVENTRY RD/OGILVIE RD,52270,4.06%,1483,257,2017-Jun-01
553,553,ST. LAURENT BLVD @ JOLIFFE ST,15784,2.77%,145,11,2017-Apr-11
554,554,ST. PATRICK ST @ SUSSEX DR,20172,4.77%,2811,403,2017-May-09
555,555,ST. PATRICK ST/ST. ANDREW ST @ BEAUSOLEIL DR,37563,1.84%,559,280,2017-Sep-20
556,556,ST. PATRICK ST/ST. ANDREW ST @ BEAUSOLEIL DR,35517,1.79%,593,231,2017-May-18
557,557,STANLEY AVE @ SUSSEX DR,20731,1.86%,399,500,2017-May-31
558,558,STEEPLE CHASE DR @ PINE HILL DR,2961,3.94%,61,43,2017-Sep-19
559,559,STITTSVILLE MAIN ST @ HOBIN ST/WILDPINE CRT,20348,3.85%,176,8,2017-May-04
560,560,STONEHAVEN DR @ STONEMEADOW DR,10035,3.43%,280,63,2017-Jun-07
561,561,STRANDHERD DR @ 215 W OF GREENBANK RD/BARRHAVE,29039,3.66%,82,1,2017-Apr-25
562,562,STRASBOURG ST @ CHINIAN ST/MONTARGIS CIRC,1887,4.05%,131,0,2017-Jan-25
563,563,SUNNYSIDE AVE @ BRONSON PL/SLOAN AVE,5839,4.10%,264,138,2017-Jun-28
564,564,TENTH LINE RD @ CHARLEMAGNE BLVD S/DES EPINETT,35571,2.46%,351,17,2017-May-09
565,565,TERON RD @ PARKWAY (THE)/PENFIELD DR S,14465,3.83%,224,9,2017-Dec-06
566,566,TERRY FOX DR @ 329 N OF CAMPEAU DR/SIGNATURE C,24345,3.12%,12,3,2017-Dec-06
567,567,TERRY FOX DR @ PALLADIUM DR/KATIMAVIK RD,51551,2.78%,110,6,2017-Nov-23
568,568,TERRY FOX DR N @ FLAMBOROUGH WAY/INNOVATION DR,19717,3.12%,177,14,2017-Apr-11
569,569,TERRY FOX DR S @ DIDSBURY RD/CENTRUM KANATA SC,42281,2.97%,73,3,2017-Dec-06
570,570,TRIM RD @ MILLENNIUM BLVD,8991,8.37%,42,0,2017-Feb-22
571,571,TWEEDSMUIR AVE @ SCOTT ST,9797,4.74%,2150,58,2017-Mar-28
572,572,TYRRELL PL @ MOODIE DR,17425,3.20%,246,1,2017-Mar-08
573,573,VIEWMOUNT DR @ MERIVALE RD,41365,3.48%,689,3,2017-Mar-22
574,574,VINEYARD DR @ VOYAGEUR DR,1591,3.40%,34,4,2017-Apr-11
575,575,WEST HUNT CLUB RD @ 354 E OF WOODROFFE AVE/REC,34627,3.16%,26,2,2017-Jan-12
576,576,WEST HUNT CLUB RD @ ANTARES DR/LASER ST,42030,3.83%,62,32,2017-Apr-20
577,577,WEYBURN ST @ CORONATION AVE,3233,5.83%,80,48,2017-Nov-09
578,578,WHITBY AVE @ WINONA AVE,1197,1.10%,119,25,2017-May-25
579,579,WHITE ALDER AVE @ KELLY FARM DR,1468,17.25%,90,0,2017-Mar-02
580,580,WOODROFFE AVE @ CLARIDGE DR/STONEWAY DR N,32139,2.34%,194,1,2017-Mar-02
581,581,WOODROFFE AVE @ CRESTHAVEN DR/PAUL METIVIER,7452,3.54%,157,12,2017-May-25
582,582,WOODROFFE AVE @ DEERFOX DR/STONEWAY DR,26744,2.51%,139,2,2017-Mar-02
583,583,WOODROFFE AVE @ GEORGINA DR/LENESTER AVE,31640,2.00%,317,6,2017-Mar-22
584,584,WOODROFFE AVE @ QUEENSBURY DR/RIDEAUCREST DR,26229,2.09%,365,31,2017-Apr-20
